"","program","share_funds_in_disadvantaged_counties","share_us_pop_in_funded_disadvantaged_counties","share_funds_in_poverty_counties","share_us_pop_in_funded_poverty_counties"
"1","acp_outreach",0.228805887288851,0.0646360692830006,0.0677966016658265,0.0103471636423313
"2","ag_rcpp",0.370584112859163,0.00344343540557098,0.0502527061370928,0.00069950736538521
"3","ag_reap",0.26337292901872,0.0419339164903024,0.0515217576176027,0.00228744653952465
"4","ag_reconnect",0.663963007657592,0.0255477620348557,0.23454473118483,0.00585716407359035
"5","ag_urban_forest",0.247841745899273,0.0831828969798818,0.0396398989651147,0.0110884780296323
"6","airport_infrastructure_comp",0.167183525,0.0107311703404778,0.055,0.000156301080121961
"7","airport_infrastructure_formula",0.206234689146059,0.078223736458333,0.047957786064518,0.0143754304404164
"8","airport_terminal",0.181298463046785,0.0528973797302725,0.026378108189749,0.0112577647849204
"9","asap",0.485392432944606,0.0217849420839494,0.201812155976676,0.00912176826778576
"10","bric",0.429875377951717,0.0609415977036257,0.0393712750977446,0.00934850670617497
"11","bridge",0.236494813005347,0.03394448818212,0.0691457628799867,0.00573338327173864
"12","brownfield",0.344681678231494,0.0950797734614252,0.0983097472994782,0.0195066215967829
"13","buses",0.252719295070241,0.0305070377690257,0.0132639409250716,0.00615025891792985
"14","capital_investment",0.115533512547988,0.0267703195406281,0,0
"15","carbon_capture_dem",0.30334767338535,0.00246917322598395,0,0
"16","cdbg_entitlement",0.277916823060363,0.147052844779105,0.0776538697047773,0.0309848487641518
"17","charge_fuel_infra",0.488002089782234,0.0222298234928091,0.250692513487248,0.00753703079174938
"18","clean_hydrogen",0.51094619661769,0.00171855693548205,0,0
"19","clean_school_bus",0.4330705495416,0.132384907685099,0.11472464977337,0.0229252984164547
"20","climate_coasts",0.228752605234879,0.0232079452952041,0.0662743806352033,0.00242856987276791
"21","coc",0.211532333470718,0.159147723245798,0.0449039131654769,0.0297067739345489
"22","crisi",0.558602589960265,0.0209367437352592,0.0969026228807444,0.00612467262030514
"23","culvert_restore",0.343836381874574,0.00350696607039244,0,0
"24","dac_hubs",0,0,0,0
"25","dhs_flood",0.311645143681695,0.036853188461992,0.0706058248647835,0.00674257306699539
"26","doe_battery",0.604803339060732,0.00223638006116311,0.0824071588695949,0.000059222319173306
"27","doe_carbon_storage",0.650628971404011,0.0319701380043457,0.118372534137994,0.000657666992447534
"28","doe_grid_innovation",0.131817451424879,0.0000108603054973011,0,0
"29","doe_grid_resilience",0.254290020595888,0.00387829938021431,0.208093452214219,0.00156149484567839
"30","doe_hydrogen_electro",0.149700598802395,0.017521805261952,0,0
"31","doe_rural_energy",0.646141472886989,0.00148019111809168,0.10526949061783,0.000350416155264118
"32","doi_aging_infra",0.400773951883007,0.01428715331734,0.101921070603031,0.000768346906512016
"33","doi_drought",0.315854160870603,0.00280721008829847,0.256463589802584,0.001262666657482
"34","doi_rural_water",0.608315712412153,0.00037683319652542,0.377233058507537,0.0000926400431239628
"35","doi_water_recycle",0.139689143303343,0.0130085448713866,0.0760037237440597,0.00502486506661642
"36","doi_water_storage",0.58480663212814,0.00230006232153868,0,0
"37","dot_tc",0.41984299200109,0.0355635438596985,0.180085866767261,0.00874228214906321
"38","elderly",0.30662189801799,0.157051023328203,0.089669108486764,0.0294022730407172
"39","epa_great_lakes",0.138092571277775,0.00809326519893387,0,0
"40","ferry_rural_comms",0.194149996583891,0.0203081406424479,0.0261168514729848,0.00551293908075658
"41","fhwa_carbon",0.152108422255612,0.155477315944685,0.0265280848360276,0.0263927556535318
"42","fhwa_protect_comp",0.30932536984837,0.0597154716385093,0.223754478693308,0.0116903821134516
"43","fhwa_stp",0.145550082278621,0.128976954734926,0.0236495931762283,0.0222663246703306
"44","fhwa_tap",0.14961089885681,0.128976954734926,0.0215219783305015,0.0222663246703306
"45","fra_intercity_rail",0.535889487628172,0.0282803385999488,0.00252187326599568,0.0043267069016629
"46","fra_rail_cross",0.223162486440421,0.0244828153947929,0.0569760333315737,0.00615011035428681
"47","fs_wildfire",0.630400753251171,0.0286283170987027,0.00874949138176164,0.00162527109529753
"48","fta_5307_5340",0.120767199839802,0.165229409430776,0.025145748233234,0.0361074535483329
"49","fta_5310",0.147273750199273,0.136366367839893,0.0331126400755173,0.0296557377752981
"50","fta_5337_combined",0.0839721274475575,0.0986442336616739,0.0155638369503504,0.0175102991593942
"51","fta_5339",0.134297407273023,0.136366367839893,0.0238916423063621,0.0296557377752981
"52","fta_rail_vehicle",0.24632602950736,0.0157478735024603,0.14831070052746,0.00571891196014216
"53","grrp_comp",0.935325820676139,0.00999896987789063,0.273395394414503,0.00571891196014216
"54","grrp_elements",0.227345777181898,0.00499325132975982,0.0294916442700566,0.000923850594019296
"55","grrp_leading",0.0732933668536067,0.000329092724621315,0.109069812415394,0.000258928238351482
"56","hcv",0.254906367881922,0.186270805640868,0.0581289274133841,0.0432211840743073
"57","home",0.27634268620571,0.135777352410086,0.067439669667858,0.0276229323518544
"58","hud_disability",0.197214067505909,0.13637170703531,0.0710702185999324,0.0248411145188714
"59","hud_esg",0.322217758786153,0.118866671273554,0.0895779279340879,0.0226953370565848
"60","hud_hopwa",0.315496334703922,0.0918638132486364,0.0846002290979806,0.0154556094017574
"61","indian_health",0.856914447360385,0.0111895285940989,0.510622936715545,0.00173496260634913
"62","indian_water",0.704747560811732,0.00177135160316058,0.271722466444755,0.0012790177539496
"63","infra",0.22692690869031,0.0223939984460122,0.0724049072821017,0.0126250354066576
"64","land_port",0.643300798580302,0.00587107448163659,0.349600709849157,0.00440860185191069
"65","low_no_emission",0.210320564487133,0.0895054078621384,0.0722600801891729,0.0199116030557977
"66","mega",0.156973676776166,0.00691021349456567,0.0332715945340786,0.00479506136612286
"67","motor_carrier_safety",0.431333937943016,0.00852385721086204,0,0
"68","national_lab",0,0,0,0
"69","natural_gas",0.2983796811881,0.010099753634182,0.213075904687856,0.00638759994937436
"70","ntia_middle_mile",0.364361615433239,0.0560927866178333,0.0962873922232777,0.0080013346230032
"71","ports",0.19526746502658,0.0106133472439031,0.0295342935373532,0.00171027072249374
"72","public_hsg",0.484649497157222,0.191357818820852,0.177800347662379,0.0383202119902527
"73","public_hsg_cap",0.476798415220237,0.191002627405633,0.171894104084119,0.0383248477822977
"74","raise",0.312692755859933,0.116782756924994,0.103937414022211,0.0200695443998153
"75","reconnect_community",0.297730812980022,0.0862564968397057,0.0752778740431422,0.0107176176979393
"76","rural_surface",0.300602587579416,0.00476375385228558,0.187231889893997,0.000757929260032751
"77","s8_project",0.254399346468578,0.209014071147844,0.0520775520736349,0.0465152402527576
"78","safe_streets",0.263186195975253,0.149467828658312,0.0507735871477438,0.0257057397618063
"79","smart_grid",0.0442962158815267,0.00154017444694667,0,0
"80","tribal_broadband",0.617656311245672,0.0228054075565217,0.253185600151979,0.001701748020441
"81","ttp",0.620537368079589,0.0438448633435207,0.295892137709879,0.00657308923748698
