"","program","percent_poc","percent_poc_funded","poverty_rate","poverty_rate_funded","pop_density","pop_density_funded","med_hh_income","med_hh_income_funded","access_to_car","access_to_car_funded","age_over_64","age_over_64_funded","age_under_18","age_under_18_funded","airports_primary","airports_primary_funded","annual_vehicle_mi_per_hh","annual_vehicle_mi_per_hh_funded","avg_hh_person_trips","avg_hh_person_trips_funded","bridges","bridges_funded","bridges_poor_condition","bridges_poor_condition_funded","broadband_speed","broadband_speed_funded","capacity_environment","capacity_environment_funded","capacity_housing","capacity_housing_funded","capacity_transport","capacity_transport_funded","cnw_500","cnw_500_funded","commute_time","commute_time_funded","contaminated_sites","contaminated_sites_funded","diesel_pm","diesel_pm_funded","docks","docks_funded","employment_access_index","employment_access_index_funded","energy_cost_hh","energy_cost_hh_funded","freq_bus_use","freq_bus_use_funded","freq_fatal_accidents","freq_fatal_accidents_funded","freq_train_use","freq_train_use_funded","ghg_per_acre","ghg_per_acre_funded","green_commute","green_commute_funded","grid_disturbances","grid_disturbances_funded","hh_int_access","hh_int_access_funded","highway_miles","highway_miles_funded","homelessness","homelessness_funded","housing_cost_burden","housing_cost_burden_funded","housing_units","housing_units_funded","hud_202","hud_202_funded","hud_hcv","hud_hcv_funded","hud_pbs8","hud_pbs8_funded","hud_ph","hud_ph_funded","incomplete_kitchen","incomplete_kitchen_funded","incomplete_plumbing","incomplete_plumbing_funded","overcrowded_housing","overcrowded_housing_funded","ozone","ozone_funded","permits","permits_funded","pm25","pm25_funded","power_generation","power_generation_funded","pub_transit_commute","pub_transit_commute_funded","pub_transit_stops","pub_transit_stops_funded","rail_transit_km","rail_transit_km_funded","rr_freight_route_miles","rr_freight_route_miles_funded","rr_incident_killed","rr_incident_killed_funded","rr_incident_number","rr_incident_number_funded","rr_pax_route_miles","rr_pax_route_miles_funded","stations_elevated","stations_elevated_funded","stations_subway","stations_subway_funded","superfund_site","superfund_site_funded","transport_costs","transport_costs_funded","transport_trade_jobs","transport_trade_jobs_funded","vacancy_rate","vacancy_rate_funded","water_system_violations","water_system_violations_funded"
"1","ag_reconnect",-0.382352941156862,-0.306022409392157,-0.137254902196078,-0.230392156862745,-0.686274509803922,-0.364845938803922,-0.098039215490196,-0.264705882352941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0882352944411764,-0.230042016735294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.137254901970588,-0.199229692019608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","airport_infrastructure",-0.607843137254902,-0.274509803568627,-0.558823529411764,-0.176470588176471,-0.65686274509804,-0.254901961254902,-0.57843137254902,-0.156862744862745,NA,NA,NA,NA,NA,NA,-0.65,-0.00470588200000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.64,-0.2264705885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","airport_terminal",-0.294117646941176,-0.359158297392157,-0.284313725598039,-0.401721663970588,-0.274509803784314,-0.194643711313725,-0.303921568588235,-0.389765662313726,NA,NA,NA,NA,NA,NA,-0.050392157,-0.0946341460000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3288235295,-0.303414634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","asap",-0.686274509803922,-0.10171568627451,-0.754901960784313,-0.219362745098039,-0.598039215686274,-0.299019607843137,-0.754901960784313,-0.705882352941176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.63,-0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.7,-0.4275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.598039215686274,-0.257352941176471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.598039215686274,-0.343137254901961,-0.583333333333333,-0.302083333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.598039215686274,-0.362745098039216,-0.686274509803922,-0.474264705882353,NA,NA,-0.8,NA,NA,NA,NA,NA,NA,NA
"5","bridge",-0.205882353264706,-0.149509804254902,-0.57843137254902,-0.397058823529412,-0.215686274519608,-0.361519608009804,-0.637254901960784,-0.345588235627451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1329411765,-0.195,-0.6,-0.396666667,-0.356951871363636,-0.128787878954545,NA,NA,NA,NA,NA,NA,-0.4460784315,-0.361666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","buses",-0.431372549019608,-0.288032454705882,-0.617647058823529,-0.413116970960784,-0.117647058990196,-0.227856660215686,-0.57843137254902,-0.448951995039216,NA,NA,NA,NA,NA,NA,NA,NA,-0.494509804,-0.106206897,-0.251764706,-0.2772413795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.52,-0.328275862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.147058823784314,-0.311020960039216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.303921568421568,-0.320824881607843,-0.151960784333333,-0.242816091833333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.64,-0.4668965515,NA,NA,NA,NA,NA,NA
"7","capital_investment",-0.401960784372549,-0.291316527039216,-0.558823529411764,-0.403361344490196,-0.11764705867647,-0.355742296656863,-0.637254901960784,-0.460784313558823,-0.57843137254902,-0.219887955539216,NA,NA,NA,NA,NA,NA,-0.73,-0.1447619045,-0.326862745,-0.213333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.2629411765,-0.308571429,NA,NA,-0.19607843167647,-0.365546218558824,NA,NA,NA,NA,NA,NA,-0.75,-0.023809524,NA,NA,-0.1145098035,-0.225714286,NA,NA,-0.114117647,-0.3290476195,NA,NA,-0.362745098215686,-0.274509803588235,NA,NA,NA,NA,-0.74,-0.050952381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.117647058656863,-0.330532213313726,-0.00367647066666665,-0.160714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.8,-0.339047619,NA,NA,NA,NA,NA,NA
"8","cdbg_entitlement",-0.40196078432353,-0.40196078432353,-0.284313725009803,-0.284313725009803,-0.137254901941176,-0.137254901941176,-0.274509803911764,-0.274509803911764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.23,-0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.313725490421568,-0.313725490421568,-0.215686274421569,-0.215686274421569,-0.401960784294118,-0.401960784294118,NA,NA,NA,NA,NA,NA,-0.0392156864901961,-0.0392156864901961,-0.205882353147058,-0.205882353147058,-0.254901960784313,-0.254901960784313,-0.401960784421569,-0.401960784421569,NA,NA,-0.0876350535510203,-0.0876350535510203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.254901960921569,-0.254901960921569,NA,NA
"9","clean_school_bus",-0.392156862627451,-0.392156862627451,-0.0882352941764707,-0.0882352941764707,-0.186274510176471,-0.186274510176471,-0.117647058833334,-0.117647058833334,NA,NA,NA,NA,-0.274509804029412,-0.274509804029412,NA,NA,-0.193333333,-0.193333333,NA,NA,NA,NA,NA,NA,NA,NA,-0.233529412,-0.233529412,NA,NA,-0.0966666665,-0.0966666665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.170980392,-0.170980392,NA,NA,NA,NA,NA,NA
"10","coc",-0.264705882558823,-0.264705882558823,-0.362745098156863,-0.362745098156863,-0.107843137401961,-0.107843137401961,-0.382352941401961,-0.382352941401961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3462745095,-0.3462745095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.117647058990196,-0.117647058990196,-0.0882352940588236,-0.0882352940588236,-0.156862745352941,-0.156862745352941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.323529411382353,-0.323529411382353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.333333333313725,-0.333333333313725,NA,NA
"11","cwsrf_emerging_combined",-0.39215686272549,-0.39215686272549,-0.519607843088235,-0.519607843088235,-0.294117647019608,-0.294117647019608,-0.431372548803922,-0.431372548803922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.194901961,-0.194901961,NA,NA,NA,NA,NA,NA,NA,NA,-0.107843137156863,-0.107843137156863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.254901961166667,-0.254901961166667,-0.284313725764706,-0.284313725764706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.101764706,-0.101764706,NA,NA,NA,NA,NA,NA,-0.176470588147059,-0.176470588147059
"12","cwsrf_general_combined",-0.362745098392157,-0.362745098392157,-0.519607843088235,-0.519607843088235,-0.294117646931373,-0.294117646931373,-0.431372549019608,-0.431372549019608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.212352941,-0.212352941,NA,NA,NA,NA,NA,NA,NA,NA,-0.117647058627451,-0.117647058627451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.254901961166667,-0.254901961166667,-0.294117647147059,-0.294117647147059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1205882355,-0.1205882355,NA,NA,NA,NA,NA,NA,-0.186274509647058,-0.186274509647058
"13","doe_bead_initial",-0.274509803941177,-0.274509803941177,-0.411764706176471,-0.411764706176471,-0.470588235166666,-0.470588235166666,-0.343137254764706,-0.343137254764706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.235294117558824,-0.235294117558824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.323529411813726,-0.323529411813726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","doe_nuclear",-0.735294117647058,NA,-0.754901960784313,NA,-0.735294117647058,NA,-0.754901960784313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.73,NA,NA,NA,-0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","doe_weatherization",-0.431372549421569,-0.447450980392157,-0.441176470627451,-0.443529411764706,-0.431372548911764,-0.447843137254902,-0.372549019441176,-0.369803921568627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.310980392,-0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0490196078529411,-0.0478431372549019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.421568627539216,-0.423137254901961,-0.254901960872549,-0.266078431372549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","doi_aging_infra",-0.696078431372549,-0.327985739568627,-0.754901960784313,-0.0294117647058824,-0.735294117647058,-0.202317290598039,-0.735294117647058,0.126559714431373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.617647058823529,-0.315508021117647
"17","doi_rural_water",-0.735294117647058,-0.141176470588235,-0.735294117647058,-0.141176470588235,-0.754901960784313,NA,-0.715686274509803,-0.154901960784314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.75,-0.34,NA,NA,NA,NA,NA,NA,NA,NA,-0.676470588235294,-0.301960784313726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.71,-0.16,NA,NA,NA,NA,NA,NA,-0.696078431372549,-0.154901960784314
"18","doi_water_recycle",-0.696078431372549,-0.454901960784314,-0.745098039215686,-0.127450980392156,-0.725490196078431,-0.337254901960784,-0.754901960784313,-0.0666666666666668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.75,-0.72,NA,NA,NA,NA,NA,NA,NA,NA,-0.754901960784313,-0.125490196078431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.74,0,NA,NA,NA,NA,NA,NA,-0.735294117647058,-0.262745098039216
"19","doi_water_storage",-0.715686274509804,-0.370098039215686,-0.754901960784313,-0.0490196078431373,-0.735294117647058,-0.281862745098039,-0.735294117647058,-0.291666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.75,-0.39,NA,NA,NA,NA,NA,NA,NA,NA,-0.735294117647058,-0.0245098039215685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.71,-0.6,NA,NA,NA,NA,NA,NA,-0.725490196078431,-0.477941176470588
"20","dwsrf_emerging_combined",-0.274509804284314,-0.274509804284314,-0.401960784215686,-0.401960784215686,-0.431372548921569,-0.431372548921569,-0.323529411872549,-0.323529411872549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4447058825,-0.4447058825,NA,NA,NA,NA,NA,NA,NA,NA,-0.0686274510784313,-0.0686274510784313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.284313725215686,-0.284313725215686,-0.264705882078431,-0.264705882078431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1349019605,-0.1349019605,NA,NA,NA,NA,NA,NA,-0.166666666833334,-0.166666666833334
