"","program","percent_poc","percent_poc_funded","poverty_rate","poverty_rate_funded","pop_density","pop_density_funded","med_hh_income","med_hh_income_funded","access_to_car","access_to_car_funded","age_over_64","age_over_64_funded","age_under_18","age_under_18_funded","airports_primary","airports_primary_funded","annual_vehicle_mi_per_hh","annual_vehicle_mi_per_hh_funded","avg_hh_person_trips","avg_hh_person_trips_funded","bridges","bridges_funded","bridges_poor_condition","bridges_poor_condition_funded","broadband_speed","broadband_speed_funded","capacity_environment","capacity_environment_funded","capacity_housing","capacity_housing_funded","capacity_transport","capacity_transport_funded","cnw_500","cnw_500_funded","commute_time","commute_time_funded","contaminated_sites","contaminated_sites_funded","diesel_pm","diesel_pm_funded","docks","docks_funded","employment_access_index","employment_access_index_funded","energy_cost_hh","energy_cost_hh_funded","freq_bus_use","freq_bus_use_funded","freq_fatal_accidents","freq_fatal_accidents_funded","freq_train_use","freq_train_use_funded","ghg_per_acre","ghg_per_acre_funded","green_commute","green_commute_funded","grid_disturbances","grid_disturbances_funded","hh_int_access","hh_int_access_funded","highway_miles","highway_miles_funded","homelessness","homelessness_funded","housing_cost_burden","housing_cost_burden_funded","housing_units","housing_units_funded","hud_202","hud_202_funded","hud_hcv","hud_hcv_funded","hud_pbs8","hud_pbs8_funded","hud_ph","hud_ph_funded","incomplete_kitchen","incomplete_kitchen_funded","incomplete_plumbing","incomplete_plumbing_funded","overcrowded_housing","overcrowded_housing_funded","ozone","ozone_funded","permits","permits_funded","pm25","pm25_funded","power_generation","power_generation_funded","pub_transit_commute","pub_transit_commute_funded","pub_transit_stops","pub_transit_stops_funded","rail_transit_km","rail_transit_km_funded","rr_freight_route_miles","rr_freight_route_miles_funded","rr_incident_killed","rr_incident_killed_funded","rr_incident_number","rr_incident_number_funded","rr_pax_route_miles","rr_pax_route_miles_funded","stations_elevated","stations_elevated_funded","stations_subway","stations_subway_funded","superfund_site","superfund_site_funded","transport_costs","transport_costs_funded","transport_trade_jobs","transport_trade_jobs_funded","vacancy_rate","vacancy_rate_funded","water_system_violations","water_system_violations_funded"
"21","dwsrf_general_combined",-0.274509804284314,-0.274509804284314,-0.401960784215686,-0.401960784215686,-0.431372548921569,-0.431372548921569,-0.323529411872549,-0.323529411872549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4447058825,-0.4447058825,NA,NA,NA,NA,NA,NA,NA,NA,-0.0686274510784313,-0.0686274510784313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.284313725215686,-0.284313725215686,-0.264705882078431,-0.264705882078431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.144705882,-0.144705882,NA,NA,NA,NA,NA,NA,-0.176470588333334,-0.176470588333334
"22","dwsrf_lead_combined",-0.274509804284314,-0.274509804284314,-0.401960784215686,-0.401960784215686,-0.431372548921569,-0.431372548921569,-0.323529411872549,-0.323529411872549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4447058825,-0.4447058825,NA,NA,NA,NA,NA,NA,NA,NA,-0.0686274510784313,-0.0686274510784313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.284313725215686,-0.284313725215686,-0.264705882078431,-0.264705882078431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.144705882,-0.144705882,NA,NA,NA,NA,NA,NA,-0.176470588333334,-0.176470588333334
"23","elderly",-0.245098038980392,-0.245098038980392,-0.333333333019608,-0.333333333019608,-0.117647058833333,-0.117647058833333,-0.382352940990196,-0.382352940990196,NA,NA,-0.254901960470588,-0.254901960470588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.2588235295,-0.2588235295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.147058823578432,-0.147058823578432,-0.27450980367647,-0.27450980367647,-0.245098039245098,-0.245098039245098,-0.00980392151960785,-0.00980392151960785,NA,NA,NA,NA,NA,NA,-0.294117647235294,-0.294117647235294,-0.274509803588235,-0.274509803588235,-0.225490196107843,-0.225490196107843,NA,NA,-0.0744297716734694,-0.0744297716734694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.333333333490196,-0.333333333490196,NA,NA
"24","ferry_rural_comms",-0.754901960784313,-0.166666666666667,-0.754901960784313,-0.529411764872549,-0.754901960784313,-0.490196078598039,-0.735294117647058,-0.313725490529412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.73,-0.1333333335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.71,-0.7733333335,-0.75,-0.681818181818182,NA,NA,NA,NA,NA,NA,-0.71,-0.1166666665,-0.71,-0.233333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.735294117647058,0.156862745264706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.754901960784313,-0.176470588568627,-0.75,0.458333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.8,-0.3866666665,NA,NA,NA,NA,NA,NA
"25","fhwa_app",-0.696078431372549,-0.247058823529412,-0.598039215686274,-0.243137254901961,-0.647058823529412,-0.483333333333334,-0.617647058823529,-0.251960784313725,NA,NA,NA,NA,NA,NA,NA,NA,-0.71,-0.12,-0.73,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.61,-0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.71,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","fhwa_bridge",-0.382352941127451,-0.382352941127451,-0.421568627460784,-0.421568627460784,-0.333333333009804,-0.333333333009804,-0.411764705558823,-0.411764705558823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.22,-0.22,-0.2815686275,-0.2815686275,-0.156862745,-0.156862745,NA,NA,NA,NA,NA,NA,-0.476470588,-0.476470588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.300392157,-0.300392157,NA,NA,NA,NA,-0.176470588352941,-0.176470588352941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.362745098421569,-0.362745098421569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","fhwa_carbon",-0.411764705735294,-0.409803921568627,-0.254901961009804,-0.249411764705882,-0.382352941196079,-0.381960784313725,-0.166666666578431,-0.168627450980392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.374509804,-0.39,NA,NA,NA,NA,NA,NA,-0.432745098,-0.45,NA,NA,-0.3205882355,-0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.408088235,-0.4175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","fhwa_cmaq",-0.274509804049019,-0.249411764705882,-0.362745098078431,-0.345098039215686,-0.186274509813726,-0.182352941176471,-0.450980391941177,-0.463529411764706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.233137255,-0.24,NA,NA,-0.386078431,-0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.203921569,-0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","fhwa_ev",-0.411764705735294,-0.411764705735294,-0.264705882245098,-0.264705882245098,-0.392156863009804,-0.392156863009804,-0.156862745284313,-0.156862745284313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3939215685,-0.3939215685,NA,NA,NA,NA,NA,NA,-0.429607843,-0.429607843,NA,NA,-0.330392157,-0.330392157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","fhwa_highway_freight",-0.411764705735294,-0.409803921568627,-0.264705882245098,-0.240392156862745,-0.392156863009804,-0.385882352941177,-0.156862745284313,-0.161176470588235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.330392157,-0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1215686275,-0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0696078435,-0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.025490196,-0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.388977212702703,-0.402702702702703,NA,NA,NA,NA
"31","fhwa_metro_plan",-0.284313725215686,-0.286666666666667,-0.431372549264705,-0.44156862745098,-0.156862745382353,-0.16156862745098,-0.421568627509804,-0.428235294117647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.2288235295,-0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3615686275,-0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0955882353333334,-0.0983333333333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","fhwa_nhpp",-0.411764705735294,-0.409803921568627,-0.254901961009804,-0.249411764705882,-0.382352941196079,-0.381960784313725,-0.166666666578431,-0.168627450980392,-0.333333333235294,-0.286666666666667,NA,NA,NA,NA,NA,NA,-0.074117647,-0.08,-0.374509804,-0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3205882355,-0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.110588235,-0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0696078435,-0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","fhwa_protect",-0.411764705735294,-0.409803921568627,-0.254901961009804,-0.249411764705882,-0.382352941196079,-0.381960784313725,-0.166666666578431,-0.168627450980392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.432745098,-0.45,NA,NA,-0.3205882355,-0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.110588235,-0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0696078435,-0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","fhwa_railway",-0.441176470284314,-0.443137254901961,-0.323529411578432,-0.306666666666667,-0.303921568460784,-0.305490196078431,-0.254901960627451,-0.26078431372549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3374509805,-0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.414509804,-0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.191176471,-0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0543137255,-0.0599999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.421568627764705,-0.434901960784314,-0.005490196,-0.01,-0.133137255,-0.14,-0.1003921565,-0.11,-0.142352941,-0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","fhwa_safety",-0.411764705735294,-0.423137254901961,-0.235294117588235,-0.220392156862745,-0.352941176852941,-0.323921568627451,-0.156862745078432,-0.149803921568627,NA,NA,NA,NA,NA,NA,NA,NA,-0.102352941,-0.11,-0.347647059,-0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.308627451,-0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1011764705,-0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.071372549,-0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","fhwa_stp",-0.411764705735294,-0.409803921568627,-0.254901961009804,-0.249411764705882,-0.382352941196079,-0.381960784313725,-0.166666666578431,-0.168627450980392,-0.333333333235294,-0.286666666666667,NA,NA,NA,NA,NA,NA,-0.074117647,-0.08,-0.374509804,-0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3205882355,-0.33,NA,NA,-0.431372549127451,-0.423529411764706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.110588235,-0.12,NA,NA,NA,NA,-0.352941176441177,-0.364901960784313,NA,NA,NA,NA,-0.0696078435,-0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.431372549098039,-0.445098039215686,-0.408088235,-0.4175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.152941176,-0.16,NA,NA,NA,NA,NA,NA
"37","fmcsa_21",-0.392156862607843,-0.392156862607843,-0.274509804176471,-0.274509804176471,-0.441176470509804,-0.441176470509804,-0.215686274372549,-0.215686274372549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.408627451,-0.408627451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0894117645,-0.0894117645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.335453099864865,-0.335453099864865,NA,NA,NA,NA
"38","fra_rail_cross",-0.294117647313725,-0.409867172352941,-0.284313725647059,-0.240354206392157,-0.205882353009804,-0.320050600627451,-0.284313725284313,-0.286527513941176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3398039215,-0.1616129035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3896078435,-0.261612903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.2494117645,-0.261935484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.137254902196078,-0.280202403509804,-0.2198039215,-0.0387096775,-0.033529412,-0.11483871,-0.066862745,-0.0838709679999999,-0.1998039215,-0.2474193545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","fs_wildfire",-0.588235294117647,-0.182072828941176,-0.637254901960784,-0.375350140460785,-0.725490196078431,-0.301120448441176,-0.637254901960784,-0.411764706049019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.68,-0.497142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.598039215686274,-0.128851540568627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.57,-0.17047619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5625,-0.291666667,NA,NA,-0.645833333333333,-0.318452380666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","fta_5305_combined",-0.176470588107843,-0.176470588107843,-0.274509804166666,-0.274509804166666,-0.166666666519608,-0.166666666519608,-0.392156863166667,-0.392156863166667,NA,NA,NA,NA,NA,NA,NA,NA,-0.3649019605,-0.3649019605,-0.2229411765,-0.2229411765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3586274505,-0.3586274505,NA,NA,-0.166666666539216,-0.166666666539216,NA,NA,NA,NA,NA,NA,-0.394117647,-0.394117647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.166666666627451,-0.166666666627451,NA,NA,NA,NA,-0.284705882,-0.284705882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.166666666764706,-0.166666666764706,-0.0759803923333334,-0.0759803923333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.582745098,-0.582745098,NA,NA,NA,NA,NA,NA
"41","fta_5307_5340",-0.176470587950981,-0.176470587950981,-0.352941176294117,-0.352941176294117,-0.0784313728823531,-0.0784313728823531,-0.382352940941177,-0.382352940941177,-0.0392156863333333,-0.0392156863333333,NA,NA,NA,NA,NA,NA,-0.454117647,-0.454117647,-0.12372549,-0.12372549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3021568625,-0.3021568625,NA,NA,-0.0686274509019608,-0.0686274509019608,NA,NA,NA,NA,NA,NA,-0.4647058825,-0.4647058825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0294117645392157,-0.0294117645392157,NA,NA,NA,NA,-0.384509804,-0.384509804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00980392153921564,-0.00980392153921564,-0.0232843136666666,-0.0232843136666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.525490196,-0.525490196,NA,NA,NA,NA,NA,NA
"42","fta_5310",-0.0980392155392155,-0.123614663539216,-0.343137254784314,-0.354859334647059,-0.00980392181372548,-0.0321824381274509,-0.382352941078431,-0.44096334140196,NA,NA,-0.225490195901961,-0.167092924039216,NA,NA,NA,NA,-0.534117647,-0.399130435,-0.12,-0.172173913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1435294115,-0.178695652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.156862745382353,-0.138533674078431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0392156861078432,-0.0573316281078431,-0.0575980393333334,-0.0742753621666665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.42745098,-0.452173913,NA,NA,NA,NA,NA,NA
"43","fta_5311_combined",-0.352941176892156,-0.349411764705882,-0.274509804147059,-0.268235294117647,-0.333333333529412,-0.346666666666667,-0.0980392159901961,-0.107450980392157,NA,NA,NA,NA,NA,NA,NA,NA,-0.1601960785,-0.17,-0.3758823525,-0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.2182352945,-0.23,NA,NA,-0.372549019441176,-0.344313725490196,NA,NA,NA,NA,NA,NA,-0.102745098,-0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.313725489960785,-0.306666666666667,NA,NA,NA,NA,-0.1225490195,-0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.431372549078431,-0.422745098039216,-0.406862745333333,-0.406666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.117647059,-0.12,NA,NA,NA,NA,NA,NA
