"","GEOID","NAME","percent_rank_percent_poc","percent_rank_poverty_rate","percent_rank_pop_density","percent_rank_med_hh_income","percent_rank_broadband_speed","percent_rank_hh_int_access","percent_rank_transport_costs","percent_rank_annual_vehicle_mi_per_hh","percent_rank_employment_access_index","percent_rank_commute_time","percent_rank_freq_fatal_accidents","percent_rank_pub_transit_commute","percent_rank_green_commute","percent_rank_freq_train_use","percent_rank_freq_bus_use","percent_rank_pub_transit_stops","percent_rank_avg_hh_person_trips","percent_rank_access_to_car","percent_rank_highway_miles","percent_rank_ghg_per_acre","percent_rank_ozone","percent_rank_pm25","percent_rank_diesel_pm","percent_rank_contaminated_sites","percent_rank_superfund_site","percent_rank_water_system_violations","percent_rank_energy_cost_hh","percent_rank_grid_disturbances","percent_rank_power_generation","percent_rank_housing_cost_burden","percent_rank_overcrowded_housing","percent_rank_vacancy_rate","percent_rank_homelessness","percent_rank_incomplete_plumbing","percent_rank_incomplete_kitchen","percent_rank_housing_units","percent_rank_permits","percent_rank_transport_trade_jobs","percent_rank_capacity_housing","percent_rank_capacity_environment","percent_rank_capacity_transport","percent_rank_airports_primary","percent_rank_bridges","percent_rank_docks","percent_rank_rr_freight_route_miles","percent_rank_rr_pax_route_miles","percent_rank_rr_incident_number","percent_rank_rr_incident_killed","percent_rank_hud_pbs8","percent_rank_hud_hcv","percent_rank_hud_202","percent_rank_hud_ph","percent_rank_stations_elevated","percent_rank_stations_subway","percent_rank_intercity_km","percent_rank_rail_transit_km","percent_rank_bridges_poor_condition","percent_rank_age_under_18","percent_rank_age_over_64","percent_rank_cnw_500"
"1","01","Alabama",0.568627450980392,0.862745098039216,0.450980392156863,0.882352941176471,0.411764705882353,0.882352941176471,0.92,0.84,0.84,0.529411764705882,0.9,0.0392156862745098,0,0,0.1,0.166666666666667,0.12,0.352941176470588,0.54,0.1,0.541666666666667,0.9375,0.372549019607843,0.411764705882353,0.24,0.0392156862745098,0.803921568627451,0.6875,0.0600000000000001,0.509803921568627,0.431372549019608,0.882352941176471,0.0392156862745098,0.901960784313726,0.92156862745098,0.176470588235294,0.510204081632653,0.189189189189189,0.48,0.42,0.54,0.5,0.74,0.88,0.66,0.32,0.92,0.82,0.529411764705882,0.549019607843137,0.647058823529412,0.92156862745098,0,0,0.254901960784314,0,0.159090909090909,0.529411764705882,0.588235294117647,0.727272727272727
"2","02","Alaska",0.705882352941177,0.215686274509804,0,0.156862745098039,0.294117647058823,0.196078431372549,0.14,0.92,0.76,0.0784313725490196,0.16,0.470588235294118,0.823529411764706,0.72,0.58,0.541666666666667,0.84,0.862745098039216,0.06,0.4,NA,NA,0.450980392156863,0.882352941176471,0.84,1,0.96078431372549,NA,0.78,0.215686274509804,0.96078431372549,0.941176470588235,0.882352941176471,1,0.980392156862745,0.647058823529412,0.857142857142857,NA,0.02,0.02,0.02,1,0.32,1,0.7,1,0.12,0,0.0588235294117647,0.529411764705882,0.470588235294118,0.313725490196078,0,0,0,0,NA,0.941176470588235,0.0196078431372549,0.0681818181818182
"3","04","Arizona",0.803921568627451,0.725490196078431,0.333333333333333,0.549019607843137,0.745098039215686,0.274509803921569,0.48,0.28,0.3,0.647058823529412,0.66,0.588235294117647,0.470588235294118,0.62,0.62,0.5,0.8,0.313725490196078,0.04,0.76,0.958333333333333,0.1875,0.803921568627451,0.392156862745098,0.02,0.725490196078431,0.352941176470588,0.104166666666667,0.36,0.549019607843137,0.901960784313726,0.588235294117647,0.745098039215686,0.372549019607843,0.235294117647059,0.745098039215686,0.26530612244898,0.27027027027027,0.98,0.64,1,0.18,0.28,0,0.24,0.72,0.22,0.3,0.0196078431372549,0,0.215686274509804,0.0392156862745098,0,0,0.843137254901961,0.549019607843137,0,0.647058823529412,0.764705882352941,NA
"4","05","Arkansas",0.450980392156863,0.882352941176471,0.313725490196078,0.941176470588235,0.705882352941176,0.96078431372549,0.96,0.88,0.88,0.215686274509804,0.98,0.0196078431372549,0.0588235294117647,0,0.16,0,0.14,0.431372549019608,0.64,0.06,0.208333333333333,0.833333333333333,0.294117647058824,0.196078431372549,0.28,0.313725490196078,0.666666666666667,0.75,0.28,0.156862745098039,0.803921568627451,0.705882352941177,0.156862745098039,0.92156862745098,0.901960784313726,0.215686274509804,0.469387755102041,NA,0.34,0.32,0.32,0.74,0.8,0.66,0.78,0.7,0.9,0.92,0.411764705882353,0.568627450980392,0.823529411764706,0.784313725490196,0,0,0.490196078431373,0.352941176470588,0.204545454545455,0.745098039215686,0.627450980392157,0.75
"5","06","California",0.96078431372549,0.509803921568627,0.764705882352941,0.117647058823529,0.509803921568627,0.0784313725490197,0.3,0.16,0.08,0.882352941176471,0.32,0.823529411764706,0.784313725490196,0.86,0.84,0.708333333333333,0.92,0.647058823529412,0,0.98,0.979166666666667,0.791666666666667,0.705882352941177,0.0392156862745098,0.18,0.0784313725490196,0.0588235294117647,0.4375,0.94,0.96078431372549,0.980392156862745,0.0196078431372549,0.941176470588235,0.0392156862745098,0.392156862745098,0.980392156862745,0.775510204081633,0.675675675675676,0.44,0.46,0.52,0.14,0.06,0.4,0.1,0.4,0.26,0.7,0.196078431372549,0.705882352941177,0.490196078431373,0.0588235294117647,0.784313725490196,0.862745098039216,0.392156862745098,0.823529411764706,0.477272727272727,0.627450980392157,0.117647058823529,0.181818181818182
"6","08","Colorado",0.509803921568627,0.117647058823529,0.254901960784314,0.215686274509804,0.607843137254902,0.0196078431372549,0.14,0.38,0.2,0.627450980392157,0.42,0.705882352941177,0.725490196078431,0.8,0.74,0.729166666666667,0.9,0.0588235294117647,0.12,0.82,0.895833333333333,0.25,0.666666666666667,0.568627450980392,0.46,0.509803921568627,0.0392156862745098,0.416666666666667,0.76,0.862745098039216,0.509803921568627,0.156862745098039,0.803921568627451,0.0980392156862745,0.0784313725490196,0.862745098039216,0.142857142857143,NA,0.32,0.2,0.44,0.62,0.36,0,0.48,0.76,0.28,0.4,0.254901960784314,0.313725490196078,0.196078431372549,0.137254901960784,0.647058823529412,0.705882352941177,0.607843137254902,0.725490196078431,0.340909090909091,0.431372549019608,0.0980392156862745,NA
"7","09","Connecticut",0.549019607843137,0.137254901960784,0.901960784313726,0.0980392156862745,0.470588235294118,0.215686274509804,0.08,0.2,0.38,0.686274509803922,0.2,0.803921568627451,0.745098039215686,0.7,0.86,0.9375,0.86,0.803921568627451,0.9,0.64,1,0.375,0.392156862745098,0.549019607843137,0.4,0.705882352941177,0.705882352941177,0.833333333333333,0.6,0.882352941176471,0.411764705882353,0.0588235294117647,0.176470588235294,0.196078431372549,0.117647058823529,0.705882352941176,0.979591836734694,0.486486486486487,0.76,1,0.78,0.1,0.3,0.46,0.16,0.42,0.1,0.1,0.92156862745098,0.92156862745098,0.862745098039216,0.843137254901961,0.529411764705882,0,0.686274509803922,0.96078431372549,0.522727272727273,0.176470588235294,0.705882352941177,0.772727272727273
"8","10","Delaware",0.647058823529412,0.372549019607843,0.862745098039216,0.313725490196078,0.254901960784314,0.176470588235294,0.32,0.36,0.44,0.607843137254902,0.5,0.647058823529412,0.549019607843137,0.56,0.36,0.854166666666667,0.16,0.333333333333333,0.96,0.56,0.729166666666667,0.5,0.568627450980392,0.470588235294118,0.98,0.156862745098039,0.333333333333333,0.854166666666667,0.92,0.725490196078431,0.0980392156862745,0.745098039215686,0.607843137254902,0.0784313725490196,0,0.294117647058823,0.102040816326531,0.108108108108108,0.6,0.8,0.26,0,0.18,0.7,0.2,0.16,0.44,0.2,0.627450980392157,0.117647058823529,0.745098039215686,0.450980392156863,0.705882352941177,0,0.862745098039216,0.764705882352941,0.136363636363636,0.254901960784314,0.901960784313726,0.5
"9","11","District of Columbia",0.92156862745098,0.843137254901961,1,0,0.0392156862745098,0.411764705882353,0,0,0,0.92156862745098,0.02,1,1,1,1,1,0,1,1,0.96,0.916666666666667,0.708333333333333,0.980392156862745,0.235294117647059,0.04,0,0,0.645833333333333,1,0.333333333333333,0.843137254901961,0.235294117647059,1,0.215686274509804,0.0588235294117647,0.274509803921569,NA,0,0,0,0,0,0,0.32,0.02,0.12,0.06,0,0.980392156862745,1,0.941176470588235,0.980392156862745,0.96078431372549,1,0.509803921568627,1,0.0909090909090909,0,0.0392156862745098,0.886363636363636
"10","12","Florida",0.823529411764706,0.627450980392157,0.823529411764706,0.725490196078431,0.313725490196078,0.431372549019608,0.48,0.26,0.4,0.784313725490196,0.74,0.607843137254902,0.294117647058824,0.54,0.48,0.5625,0.04,0.411764705882353,0.08,0.74,0.4375,0.4375,0.862745098039216,0.156862745098039,0.2,0.117647058823529,0.215686274509804,0.145833333333333,0.58,1,0.745098039215686,0.901960784313726,0.666666666666667,0.0588235294117647,0.0196078431372549,0.352941176470588,0.204081632653061,0.513513513513513,0.74,0.52,0.9,0.3,0.02,0.62,0.06,0.08,0.3,0.58,0.0980392156862745,0.156862745098039,0.568627450980392,0.176470588235294,0.901960784313726,0,0.137254901960784,0.588235294117647,0.0681818181818182,0.137254901960784,0.96078431372549,0.386363636363636
"11","13","Georgia",0.843137254901961,0.764705882352941,0.647058823529412,0.568627450980392,0.215686274509804,0.607843137254902,0.64,0.56,0.42,0.843137254901961,0.72,0.627450980392157,0.352941176470588,0.74,0.44,0.333333333333333,0.3,0.470588235294118,0.34,0.28,0.791666666666667,1,0.823529411764706,0.137254901960784,0.06,0.196078431372549,0.490196078431373,0.229166666666667,0.64,0.705882352941177,0.352941176470588,0.431372549019608,0.392156862745098,0.509803921568627,0.509803921568627,0.882352941176471,0.306122448979592,NA,0.82,0.68,0.86,0.16,0.34,0.24,0.44,0.1,0.7,0.52,0.352941176470588,0.254901960784314,0.176470588235294,0.509803921568627,0.803921568627451,0.823529411764706,0.156862745098039,0.529411764705882,0.113636363636364,0.843137254901961,0.0784313725490196,0.818181818181818
"12","15","Hawaii",0.980392156862745,0.0588235294117647,0.725490196078431,0.0784313725490197,0.235294117647059,0.254901960784314,0.08,0.32,0.26,0.764705882352941,0.06,0.862745098039216,0.901960784313726,0,0.88,0.895833333333333,0.88,0.745098039215686,0.86,1,NA,NA,0.137254901960784,0.431372549019608,0.12,0.0196078431372549,0.137254901960784,NA,0.88,0.980392156862745,1,0.666666666666667,0.96078431372549,0.274509803921569,0.470588235294118,0.96078431372549,0.673469387755102,0.702702702702703,0.42,0.24,0.6,0.92,0.14,0.96,0,0.02,0,0,0.156862745098039,0.764705882352941,0.627450980392157,0.745098039215686,0,0,0,0,0.431818181818182,0.274509803921569,0.862745098039216,0
"13","16","Idaho",0.176470588235294,0.431372549019608,0.117647058823529,0.666666666666667,0.96078431372549,0.313725490196078,0.8,0.94,0.74,0.156862745098039,0.48,0.215686274509804,0.431372549019608,0,0.24,0.25,0.98,0.0196078431372549,0.46,0.44,0.104166666666667,0.291666666666667,0.215686274509804,0.725490196078431,0.6,0.862745098039216,0.294117647058824,0.666666666666667,0.66,0.294117647058824,0.568627450980392,0.490196078431373,0.686274509803922,0.254901960784314,0.274509803921569,0.784313725490196,0.0408163265306123,0.351351351351351,0.28,0.28,0.42,0.84,0.64,0,0.82,0.52,0.74,0.68,0.137254901960784,0.0588235294117647,0.0980392156862745,0,0,0,0.313725490196078,0,0.454545454545455,0.96078431372549,0.352941176470588,0.363636363636364
"14","17","Illinois",0.686274509803922,0.470588235294118,0.745098039215686,0.333333333333333,0.686274509803922,0.450980392156863,0.14,0.12,0.1,0.901960784313726,0.26,0.92156862745098,0.92156862745098,0.94,0.94,0.875,0.5,0.901960784313726,0.2,0.92,0.75,0.979166666666667,0.92156862745098,0.333333333333333,0.48,0.392156862745098,0.196078431372549,0.0833333333333333,0.42,0.450980392156863,0.686274509803922,0.0784313725490196,0.196078431372549,0.450980392156863,0.529411764705882,0.764705882352941,0.959183673469388,0.972972972972973,0.96,0.74,0.48,0.24,0.56,0.8,0.58,0.74,0.68,0.88,0.686274509803922,0.666666666666667,0.725490196078431,0.725490196078431,1,0.901960784313726,0.803921568627451,0.92156862745098,0.659090909090909,0.549019607843137,0.235294117647059,0.590909090909091
"15","18","Indiana",0.274509803921569,0.588235294117647,0.666666666666667,0.686274509803922,0.647058823529412,0.745098039215686,0.64,0.6,0.56,0.392156862745098,0.58,0.294117647058824,0.235294117647059,0.42,0.28,0.1875,0.42,0.450980392156863,0.44,0.34,0.5625,0.854166666666667,0.725490196078431,0.666666666666667,0.7,0.607843137254902,0.725490196078431,0.1875,0.44,0.372549019607843,0.215686274509804,0.313725490196078,0.215686274509804,0.588235294117647,0.686274509803922,0.627450980392157,0.571428571428571,0.864864864864865,0.8,0.88,0.8,0.12,0.68,0.38,0.6,0.56,0.94,0.9,0.568627450980392,0.352941176470588,0.450980392156863,0.274509803921569,0,0,0.666666666666667,0.627450980392157,0.409090909090909,0.784313725490196,0.274509803921569,0.0454545454545455
"16","19","Iowa",0.0980392156862745,0.352941176470588,0.274509803921569,0.529411764705882,0.803921568627451,0.725490196078431,0.48,0.82,0.78,0.117647058823529,0.38,0.313725490196078,0.509803921568627,0,0.52,0.6875,0.48,0.274509803921569,0.66,0.3,0.333333333333333,0.479166666666667,0.235294117647059,0.803921568627451,0.5,0.529411764705882,0.686274509803922,0.375,0.22,0.0784313725490196,0.117647058823529,0.176470588235294,0.235294117647059,0.431372549019608,0.450980392156863,0.411764705882353,0.36734693877551,0.918918918918919,0.66,0.54,0.36,0.72,0.96,0.76,0.86,0.62,0.88,0.78,0.431372549019608,0.509803921568627,0.392156862745098,0.196078431372549,0,0,0.470588235294118,0.313725490196078,0.954545454545455,0.686274509803922,0.666666666666667,0.454545454545455
"17","20","Kansas",0.372549019607843,0.392156862745098,0.176470588235294,0.588235294117647,0.784313725490196,0.568627450980392,0.64,0.66,0.58,0.0980392156862745,0.64,0.0784313725490196,0.137254901960784,0,0.02,0.229166666666667,0.58,0.156862745098039,0.58,0.46,0.375,0.416666666666667,0.470588235294118,0.784313725490196,0.62,0.411764705882353,0.647058823529412,0,0.24,0.0980392156862745,0.372549019607843,0.352941176470588,0.254901960784314,0.686274509803922,0.784313725490196,0.568627450980392,0.63265306122449,0.810810810810811,0.24,0.26,0.3,0.7,1,0,0.9,0.82,0.84,0.94,0.470588235294118,0.0196078431372549,0.156862745098039,0.607843137254902,0,0,0.784313725490196,0,0.318181818181818,0.882352941176471,0.333333333333333,0.863636363636364
"18","21","Kentucky",0.117647058823529,0.901960784313726,0.529411764705882,0.862745098039216,0.431372549019608,0.823529411764706,0.92,0.52,0.66,0.313725490196078,0.82,0.333333333333333,0.176470588235294,0,0.72,0.0625,0.2,0.627450980392157,0.56,0.24,0.416666666666667,0.729166666666667,0.490196078431373,0.372549019607843,0.16,0.215686274509804,0.529411764705882,0.583333333333333,0.4,0.137254901960784,0.156862745098039,0.549019607843137,0.333333333333333,0.784313725490196,0.823529411764706,0.392156862745098,0.73469387755102,0.945945945945946,1,0.78,0.94,0.44,0.72,0.82,0.62,0.26,0.78,0.64,0.666666666666667,0.588235294117647,0.352941176470588,0.901960784313726,0,0,0.196078431372549,0,0.5,0.588235294117647,0.470588235294118,0.954545454545455
"19","22","Louisiana",0.725490196078431,0.96078431372549,0.490196078431373,0.92156862745098,0.372549019607843,0.901960784313726,0.8,0.58,0.62,0.549019607843137,0.84,0.411764705882353,0.215686274509804,0,0.14,0.0416666666666667,0.1,0.764705882352941,0.5,0.38,0.458333333333333,0.770833333333333,0.745098039215686,0.274509803921569,0.34,0.254901960784314,0.450980392156863,0.791666666666667,0.12,0.941176470588235,0.529411764705882,0.784313725490196,0.0196078431372549,0.882352941176471,0.882352941176471,0.490196078431373,0.448979591836735,0.432432432432432,0.54,0.48,0.58,0.54,0.66,0.98,0.56,0.58,0.98,0.84,0.333333333333333,0.901960784313726,0.764705882352941,0.764705882352941,0,0,0.431372549019608,0.490196078431373,0.886363636363636,0.803921568627451,0.176470588235294,0.977272727272727
"20","23","Maine",0,0.333333333333333,0.215686274509804,0.627450980392157,0.941176470588235,0.529411764705882,0.72,0.78,0.9,0.509803921568627,0.54,0.156862745098039,0.529411764705882,0.44,0.12,0.270833333333333,0.08,0.588235294117647,0.78,0.08,0.0625,0.125,0.0196078431372549,0.96078431372549,0.86,0.92156862745098,0.941176470588235,0.979166666666667,0.8,0.352941176470588,0.274509803921569,1,0.764705882352941,0.823529411764706,0.705882352941177,0,0.551020408163265,0.162162162162162,0.0600000000000001,0.3,0.16,0.88,0.46,0.9,0.72,0.34,0.18,0.12,0.823529411764706,0.862745098039216,0.882352941176471,0.529411764705882,0,0,0.294117647058824,0,0.909090909090909,0.0392156862745098,1,0.0227272727272727
"21","24","Maryland",0.862745098039216,0.0196078431372549,0.882352941176471,0.0196078431372549,0.176470588235294,0.0980392156862745,0.04,0.08,0.12,0.980392156862745,0.28,0.901960784313726,0.862745098039216,0.9,0.78,0.770833333333333,0.56,0.823529411764706,0.7,0.78,0.9375,0.541666666666667,0.843137254901961,0.0196078431372549,0.42,0.176470588235294,0.117647058823529,0.0625,0.9,0.745098039215686,0.470588235294118,0.137254901960784,0.509803921568627,0.313725490196078,0.215686274509804,0.92156862745098,0.612244897959184,0.324324324324324,0.9,0.76,0.88,0.06,0.16,0.52,0.12,0.14,0.2,0.14,0.588235294117647,0.745098039215686,0.843137254901961,0.411764705882353,0.843137254901961,0.92156862745098,0.647058823529412,0.862745098039216,0.272727272727273,0.470588235294118,0.156862745098039,0.318181818181818
"22","25","Massachusetts",0.490196078431373,0.156862745098039,0.92156862745098,0.0588235294117647,0.117647058823529,0.117647058823529,0.04,0.06,0.0600000000000001,0.941176470588235,0,0.941176470588235,0.96078431372549,0.96,0.92,0.791666666666667,0.74,0.941176470588235,0.76,0.88,0.270833333333333,0.270833333333333,0.647058823529412,0.529411764705882,0.58,0.274509803921569,0.431372549019608,0.541666666666667,0.98,0.686274509803922,0.607843137254902,0.0980392156862745,0.862745098039216,0.0196078431372549,0.0980392156862745,0.725490196078431,0.816326530612245,0.459459459459459,0.36,0.96,0.66,0.4,0.1,0.54,0.14,0.5,0.16,0.18,0.96078431372549,0.980392156862745,0.901960784313726,0.882352941176471,0.666666666666667,0.96078431372549,0.274509803921569,0.980392156862745,0.727272727272727,0.117647058823529,0.529411764705882,0.409090909090909
"23","26","Michigan",0.411764705882353,0.686274509803922,0.627450980392157,0.647058823529412,0.490196078431373,0.588235294117647,0.48,0.4,0.46,0.470588235294118,0.44,0.509803921568627,0.372549019607843,0.36,0.54,0.416666666666667,0.28,0.705882352941176,0.24,0.52,0.520833333333333,0.75,0.352941176470588,0.843137254901961,0.78,0.568627450980392,0.764705882352941,0.395833333333333,0.68,0.647058823529412,0.0392156862745098,0.607843137254902,0.294117647058824,0.745098039215686,0.764705882352941,0.196078431372549,0.918367346938776,0.405405405405405,0.88,0.98,0.92,0.56,0.26,0.36,0.28,0.3,0.5,0.36,0.803921568627451,0.333333333333333,0.411764705882353,0.431372549019608,0.764705882352941,0,0.333333333333333,0.333333333333333,0.818181818181818,0.313725490196078,0.686274509803922,0.0909090909090909
"24","27","Minnesota",0.235294117647059,0.0784313725490196,0.392156862745098,0.254901960784314,0,0.235294117647059,0.14,0.42,0.28,0.352941176470588,0.12,0.745098039215686,0.666666666666667,0.68,0.68,0.75,0.64,0.509803921568627,0.38,0.5,0.25,0.333333333333333,0.509803921568627,0.490196078431373,0.54,0.0980392156862745,0.254901960784314,0.458333333333333,0.74,0.313725490196078,0.313725490196078,0.294117647058824,0.705882352941177,0.352941176470588,0.156862745098039,0.588235294117647,0.387755102040816,0.756756756756757,0.12,0.44,0.2,0.58,0.6,0.56,0.68,0.46,0.6,0.62,0.901960784313726,0.392156862745098,0.686274509803922,0.588235294117647,0.588235294117647,0.745098039215686,0.372549019607843,0.647058823529412,0.25,0.725490196078431,0.372549019607843,0.295454545454545
