"","state","GEOID","year","total_state_pop","acp_outreach","ag_acep","ag_csp","ag_eqip","ag_rcpp","ag_reap","ag_reconnect","ag_urban_forest","airport_infrastructure_comp","airport_infrastructure_formula","airport_terminal","asap","bric","bridge","brownfield","buses","capital_investment","carbon_capture_dem","cdbg_entitlement","charge_fuel_infra","clean_hydrogen","clean_school_bus","climate_coasts","coc","crisi","culvert_restore","cwsrf_emerging_combined","cwsrf_general_combined","dac_hubs","dhs_flood","doe_battery","doe_bead_initial","doe_carbon_storage","doe_grid_innovation","doe_grid_resilience","doe_hydrogen_electro","doe_nuclear","doe_rural_energy","doe_weatherization","doi_aging_infra","doi_drought","doi_rural_water","doi_water_recycle","doi_water_storage","dot_tc","dwsrf_emerging_combined","dwsrf_general_combined","dwsrf_lead_combined","elderly","epa_great_lakes","ferry_rural_comms","fhwa_app","fhwa_bridge","fhwa_carbon","fhwa_cmaq","fhwa_ev","fhwa_highway_freight","fhwa_metro_plan","fhwa_nhpp","fhwa_protect","fhwa_protect_comp","fhwa_railway","fhwa_safety","fhwa_spr","fhwa_stp","fhwa_tap","fmcsa_21","fra_intercity_rail","fra_rail_cross","fs_wildfire","fta_5305_combined","fta_5307_5340","fta_5310","fta_5311_combined","fta_5329_e","fta_5337_combined","fta_5339","fta_rail_vehicle","grrp_comp","grrp_elements","grrp_leading","hcv","home","hud_disability","hud_esg","hud_hopwa","hud_htf","indian_health","indian_water","infra","land_port","low_no_emission","mega","motor_carrier_safety","national_lab","natural_gas","nhtsa","ntia_middle_mile","ports","public_hsg","public_hsg_cap","raise","reconnect_community","rural_surface","s8_project","safe_streets","smart_grid","tribal_broadband","ttp","usace"
"1","AK",2,"2022-2023",736990,2458.15411335296,0,0,2520.81167994138,0,0,639542.828260899,6927.15504959362,0,171061.76338892,9270.13935060177,0,27006.9987381104,1747.64922183476,16282.4461661624,9326.24594634934,0,0,12433.1252798545,1904.82638841775,0,535.963852969511,16036.8526031561,13455.7633075076,0,59820.9351551581,3261.91671528786,38633.4685680945,0,0,0,135687.051384686,12049.4837107695,2801937.61109377,0,0,0,169703.795166827,6026.01120775044,0,0,0,0,0,7240.60027951533,30868.8041900161,71644.2285512693,96190.5860323749,4970.83271143435,0,565766.167790608,0,122118.346246218,43124.0410317643,82183.8450996621,25675.2941016839,47662.0198374469,8198.59563901817,994136.779332148,49035.1239501214,68859.6765220695,3324.33275892482,109402.491214263,34340.3845371036,419517.065360453,30262.6534959769,4272.29948845982,11127.095347291,0,5395.42598949782,2105.15746482313,61863.5761679263,1839.98561717255,16542.8364021221,0,98652.870459572,12607.5564118916,0,0,0,0,152018.899849387,10247.5338878411,4659.58561174507,1147.65600618733,1255.05773484036,8207.50078020055,564067.165090435,0,23268.4432624595,230667.987353967,9199.80461064601,0,0,0,0,16917.7532938032,120621.031492965,152614.399109893,27939.4211590388,9504.46410399055,96648.7401457279,5141.75904693415,13568.7051384686,23766.3943879836,5305.22530834882,0,506998.565787867,137124.776455583,748741.502598407
"2","AL",1,"2022-2023",4893186,102.182913136758,0,1105.33709529946,610.85762936459,2554.57282841895,11.7831204454521,16035.600322571,1955.9984026767,0,6055.92654765218,2709.89085638682,0,0,112401.204450434,445.414296533996,0,0,0,17983.8730839171,0,0,5408.04253098084,5450.84531836722,6961.84203911317,25380.1956434928,0,918.011291620633,10871.3402678746,0,0,0,20436.5826273516,8535.04097330451,0,0,0,0,1294.54388204331,1337.59436081114,0,0,0,0,0,773.926844391364,9413.49868981069,21190.4125451189,24464.6044519869,3170.22222331217,0,0,30195.050831912,18392.9243646164,10181.0899892217,5131.31791842779,5851.21186891322,10861.8260168324,1674.46690152387,234704.253629435,11576.6288058537,0,2104.68271592374,24508.8230858177,7787.73339088275,100034.519022984,11862.3197646687,3062.96858529392,0,10935.2520014567,0,631.205108491686,13760.6066885665,2691.92791772068,7530.91114868717,0,0,2731.7316366065,0,0,0,1079.05156272416,108821.519558014,7856.5678884882,948.930410575032,1570.15040916082,4750.84147628968,2231.66051729895,0,0,0,0,6063.03357362667,0,1008.42457245647,0,4635.89448674136,4630.71074755793,5934.29495629228,0,56055.9588374527,41440.4185739107,10312.5558685078,20051.2482051571,0,57527.9921915905,726.692179696419,0,0,468.434471937098,0
"3","AR",5,"2022-2023",3011873,554.472250323968,0,3531.17644734688,1740.39078008933,11283.1228275561,1432.0437813945,29984.6168812563,1406.82259842962,504.791868714252,5803.13578959007,10051.8846578192,0,833.879117745005,65407.8043795339,332.019311571238,0,0,2517.15593585785,17524.6818175932,0,0,10382.2438728326,0,2525.73066659849,1963.89422794387,0,872.878770120785,10332.3015279861,0,0,0,33201.9311571238,0,0,0,0,0,0,1735.09241591528,0,0,0,0,0,1077.10683684206,10585.1076722026,23724.5395141163,36140.9561425731,3554.23718065138,0,0,0,39949.642631014,11211.4737241577,8998.59223811894,6487.17724817746,12042.3922257014,1520.12286042605,258457.648778684,12748.2490131556,5363.95458905472,2690.38402349634,26616.5582014912,8637.0271920496,110789.996789373,12431.4338619191,3531.14556955091,0,191.243123465033,25.2331356601025,518.632757755722,13229.7450788928,2651.02844641856,6130.62602573216,316.189626853456,363.160398861439,3601.69137277701,0,982.777162250865,0,0,88569.4250720399,8796.01829160791,2367.0702582745,1525.83624873957,2769.04205456206,2514.87197501355,0,0,0,0,627.16987070836,0,0,0,0,7899.84305447142,0,2129.12430238592,20611.7316367589,21261.0425472787,24370.3579134977,846.148559384808,0,34764.6969178315,10343.9534137064,10860.0568483465,0,0,36238.9118000659
"4","AZ",4,"2022-2023",7174064,262.213997533337,0,459.949897296707,250.49915919345,5555.75152382248,530.436026218891,11859.257458534,3093.50279005038,33.0356684858122,5496.27338144739,2160.56059717337,0,636.666051487692,58.7672482431158,818.914913499517,2280.15808055239,41590.9315835487,0,15419.0567577875,1797.94479112536,0,62008.6012614329,0,14168.578646636,0,0,378.446582021014,4478.95223683536,0,6194.32472305795,0,13939.100626925,0,0,866.214045483843,0,0,2693.4988313458,627.575945795856,5319.82973667366,53833.6039377402,0,0,696.955031346249,513.830096860022,5650.77200314912,13058.9732681504,14582.9671996235,2299.29186580995,0,0,0,12545.1905642325,6348.03522801023,15915.7446880875,3848.79003030918,7144.65427127497,2173.57219004458,146340.998351841,7218.17076067345,2173.18496182917,901.993486537059,15691.8555507729,5125.72343932254,61650.0251461375,8119.0346224957,2272.2852765183,0,0,1009.13206238472,1179.70121259024,31704.0963113794,2842.18303600302,2495.01454126977,319.992824150997,3848.90279763325,3573.90775995308,0,0,0,0,75372.9205649685,7239.36056327348,594.251040972035,1355.87388124778,2311.08699336945,2468.54293466019,11770.0316027289,37.6362686477288,17766.7776590786,89558.7215279931,8818.05054986964,0,331.819732859924,0,0,3660.26425189404,4220.93767214789,0,5562.8447139585,3178.87281183998,18961.0647465648,1404.72555025994,3484.77515673125,18280.6955722726,6170.23656326456,0,6846.79785404758,20807.8382071863,11737.4893784053
"5","CA",6,"2022-2023",39346023,156.347669496355,0,36.5980826067224,199.090007139985,1434.56839335452,221.445837105316,3777.90489778344,2436.66675028376,31.1340233802029,4824.50749850881,5949.77540677999,0,12754.2366353011,10174.3446853574,216.020206159082,3340.36664900033,66763.835267417,6862.19290828961,19303.3366803044,4282.88353310829,30498.6351479538,8436.57291614962,1460.40172853048,25430.3037437863,7389.97107789013,731.598464220895,730.340649676334,8647.45847375731,0,1270.77646449808,3812.32939349423,2541.55292899615,340.958220860085,0,1002.02035666985,1209.77919420217,27957.0822189577,954.268414878932,440.054132027524,11733.1711009268,12985.0671311812,0,7300.26996629367,4752.70397722281,166.607918670713,5482.79047160624,13138.155538617,10199.4915725028,5118.05243950577,0,683.677737899965,0,29216.9540489518,5478.14870641437,25959.7629473251,3520.3049873681,6534.87525283051,3388.58036554292,126287.5603209,6229.04858770606,1518.45796460801,838.506829521245,13481.4497007741,4674.01678690626,53857.5830904181,6350.86458420461,1234.41342470623,116240.464760568,1639.32603811064,3559.65661383363,1409.90978935787,58206.1897590005,2418.59930799105,1034.65140555629,333.843245097478,32804.5183117999,3916.9217432725,1146.24037097727,130.127509964603,8.42867905607639,0,285318.159957361,10099.1980815952,935.170245795871,1708.69363340737,3744.08361424482,4937.48173735373,74.9834614797028,0,16131.4592074528,2160.31998964673,7325.81386942208,762.465878698846,172.248234592858,8509.11920627912,0,5479.66090499159,2059.16435315457,2388.71659277991,5724.43331820347,5210.76628252873,6126.31220695418,6917.60981789697,635.388232249038,97030.1741042545,7180.61789878992,3321.34157497951,913.596502497851,1398.08086830021,2503.12464870973
"6","CO",8,"2022-2023",5684926,164.470038836038,0,456.651150780151,491.37191935304,3345.22876814931,445.506414683322,6090.17725120784,3902.98959036582,47.3181181250205,26688.7783587684,16746.0403178511,0,2430.87526557074,131.927838638533,1148.17536763012,8198.92273004081,2861.81385650402,0,13046.7015753591,2441.18340326681,0,19863.7590005569,0,12491.2756999827,0,0,565.002956942623,6693.77930337176,0,0,0,17590.3784851377,5747.05000557615,0,4611.19018963483,527.711354554131,0,1076.53116329043,2382.52511994,13122.4223499127,646.174813885,0,0,28144.6055762203,351.807569702754,7605.72784940384,17327.1384711076,20415.8066437452,1891.47105872618,0,0,0,15831.3406366239,5870.86762431032,16375.3405057515,3590.25288983533,6664.72228486351,2479.11336049053,135340.870927783,6675.5970086506,6789.88609526316,1294.37973335097,14052.1466770192,4765.49175837997,57413.7462827133,7110.92809299541,2241.01615394818,0,123.132649395964,5118.00505406755,1094.8144267841,41256.4673665057,2384.19057697497,3006.22259638912,495.793260985279,9463.15026791905,4003.52599136735,0,0,0,0,145950.288710882,7005.8071116493,468.125002858437,1132.48017652297,1467.2592044294,2903.29372800983,0,0.462978761728825,33092.7790440896,0,2201.39453002555,0,338.617776203243,0,16.2188566746515,4549.92466040895,476.870059522323,0,11225.9417272978,7281.16091572696,20757.7954400814,6591.99433730536,8739.41490179468,83244.8037142436,5714.96796967982,1178.4825343373,11685.6497340511,809.614408349379,0
"7","CT",9,"2022-2023",3570549,140.034487693629,0,4.63066043905293,315.107844760007,0,513.203151672194,0,4464.72993368807,0,5530.51365490293,7001.72438468146,8290.04167146285,17293.1815247459,44572.9774328822,1582.38971093801,5711.72668404775,0,0,22393.6249019408,4103.79468255442,0,21119.8613994655,0,38260.1964011697,1504.67057026805,0,1378.2194278807,16322.6887517858,0,0,0,28006.8975387258,0,0,0,4173.02773327015,0,0,1977.38779106518,0,0,0,0,0,236.859373726561,6371.56919006013,14787.9443749407,23020.4094664434,8032.0536141641,0,0,0,67869.2296338742,8607.95804790804,27271.3711532876,5308.53686645947,9854.43807100813,3444.36639855664,198438.225326133,9787.8312270746,336.08277046471,780.879915105492,21720.360650421,7076.43810517654,86306.8295659855,8300.21097595916,1922.46514471584,522692.61673765,0,0,1127.92346499096,89109.9346347018,2838.59512920842,1281.8334099322,0,54641.3811993618,4860.07473920677,0,0,208.170508232768,0,232367.987668003,10214.5238729394,1160.12383529816,1970.96356890775,1218.58907411717,3985.57756804346,0,0,0,0,7404.21711059,0,2023.1961527485,0,2800.68975387258,9744.65103265632,0,4909.60913853864,39869.2178709773,23136.4316803942,29993.8620083354,6120.29130534268,0,124527.670114596,3031.80743353473,0,0,272.600376020606,17644.3454493973
"8","DC",11,"2022-2023",701974,8119.95885887512,0,0,0,854.732511460538,0,0,12985.1817873596,0,0,0,0,955.518295549408,0,2844.24921720747,0,0,0,43693.4473356563,0,0,10862.2256664777,0,66273.7280867952,22393.9918002661,0,2155.35048306632,27171.9465393305,0,0,0,142455.418576756,0,0,0,0,0,0,2170.16442204412,0,0,0,0,0,0,21646.1008527381,62659.0158609863,81199.5885887512,6519.41952266038,0,0,0,128209.876719081,14196.8249536308,31673.0833335708,8577.87895278173,15923.4416089485,6737.69541322043,327278.836538105,16142.8072834606,1424.55418576756,3490.15775513053,33620.5343787662,11354.2510121457,140634.241439142,15398.1557721511,4198.80650850316,525404.074794793,0,0,2210.16732813466,102069.82594797,682.778849359093,0,11191.6780393576,394377.026784468,4329.44809921735,0,0,2136.83127865135,11196.9959001331,826707.721368598,17387.6368640434,3281.50187898697,3781.86371575016,67609.659332112,8616.90888836339,0,0,48488.9753751563,0,87738.2923014243,0,2849.10837153513,0,0,15568.3586571582,0,0,183662.772410374,69515.3039856177,74789.0947527971,2849.10837153513,0,405626.426334878,0,0,0,0,8924.83197383379
"9","DE",10,"2022-2023",967679,0,0,178.98083972061,792.747388338488,0,0,0,0,0,0,0,0,0,0,516.70026940752,11367.4059269654,0,0,15735.5321341065,0,258350.13470376,836.021035901368,174.644691059742,18597.0595621069,0,0,2037.86586254326,24135.7102923593,0,0,0,103340.053881504,0,0,0,10334.0053881504,0,0,1670.00627274127,0,0,0,0,0,304.853158950437,23509.8622580422,54564.6645220161,73259.3142974065,5273.39851334998,0,0,0,93006.0484933537,10869.8080665179,26524.3546671985,6596.93865424381,12246.1456743404,4907.02805372443,250581.228899253,12359.7494623734,15527.5819770812,2531.83132009685,25881.99082547,8742.76180427601,106678.352015493,12787.942075833,3091.86207409689,4464.29032768098,1653.44086210407,0,1603.30026796076,77057.8693967731,3004.25347661776,2813.63448002902,0,22044.7049073091,10523.2447950198,0,0,0,0,109433.71717274,9992.05521665759,3442.44837389258,1355.01752130614,4254.1152592957,6250.88071560921,0,0,0,0,9032.67302483571,0,2254.08839088169,0,0,14306.2699510892,0,0,26931.2881647736,15014.0304791155,51670.026940752,2418.1572608272,0,123687.438706431,434.028226302317,8256.85687092517,0,0,0
"10","FL",12,"2022-2023",21216924,40.7379976475384,128.657339772721,140.512498418715,155.769846750641,1896.78305865638,314.410986248525,0,1375.31981544544,38.8840531266455,7192.47299938483,7554.21709574866,0,6207.37784610059,4760.35074641357,253.382629828905,960.119996659271,1533.60590818914,222.450813322421,14422.2523019831,0,0,5254.29605158599,2988.95037753823,9850.2922006979,2754.83547945027,0,639.206701216444,7568.70930017942,0,1618.86247035621,0,4713.21856080552,4588.28004474164,0,2766.02550869297,0,0,298.556190331831,332.706428132561,0,0,0,0,0,42.0823961098225,4103.04528592363,9395.19838031187,19846.1138853116,4160.07966093483,0,0,0,4965.19354077905,5861.42223066831,1410.55857107279,3369.98393358057,6255.82850746885,2600.47488504931,135123.129111458,6664.85702640025,1537.82395600795,932.759621517238,14389.0767106485,4458.28339678268,56403.8389353707,8017.0258893325,1560.9540760951,0,756.000257153205,23.5660928040276,1256.75079007683,33721.1209787055,3343.20220028125,1127.50910546694,136.073589178149,7289.36041812659,2859.64129390292,3379.37770809755,0,0,0,130195.112967365,7273.76861980559,958.26581647745,1258.91627834459,5540.95079946556,2645.80025832208,0,0,9754.61438236758,0,2736.39840534849,0,46.7564478243877,0,618.611208674735,3350.69183449967,132.539759297813,2033.853964882,13656.1921040015,7689.57691510796,5520.74400605856,10164.8578747796,0,37291.9746048013,5301.77296199958,2536.9019090609,23.5623222291789,29.6145661831093,52792.8900532424
"11","GA",13,"2022-2023",10516579,95.0879558837527,0,499.153669648657,491.232462571717,3359.38787698928,287.63441039144,4370.76001616115,1667.75716704073,0,10498.3717613874,4706.85381624576,0,0,73.4079019422571,380.351823535011,0,1547.00497186395,0,15719.8679342398,581.944660901611,0,16107.5141450466,39.9369414711761,9168.30235383579,0,0,646.027572274216,7648.40733854612,0,147.208231878446,16946.4393316496,9508.79558837527,0,23689.2036849626,0,570.527735302516,0,602.329331620102,862.415144696769,0,0,0,0,0,312.958234802401,5355.73402719649,12708.980743643,12189.6978095253,2357.41071312258,0,380.351823535011,2626.32962677312,8557.91602953774,7785.31393146003,14220.5556578808,4633.38895661793,8601.13493180625,1968.70579301501,179474.526269427,8852.45972097961,142.631933825629,1699.32399119524,18651.591168573,6165.19468926159,74851.1000582984,10714.5930249751,2625.67855953918,0,306.036782493623,131.182678321534,997.074714125192,26342.0177797362,2248.95167905837,3217.11204755843,345.827098336826,16147.0972642339,2424.1264198177,0,0,71.3159669128145,0,131142.917387869,8107.35629903983,470.907697265432,1378.15243911542,7398.6233546099,2710.80957029848,0,0,1433.27093344708,0,5069.38273368174,0,560.535797810296,0,799.397123342106,3912.42608456609,1423.65668531563,0,21065.4070111583,15907.7407206279,9520.05095953732,21750.9097777899,1141.05547060503,50684.3093176973,4113.41958254676,0,0,0,5134.74961772265
"12","HI",15,"2022-2023",1420074,767.565633903585,0,400.495326299897,950.815239205844,4565.66347950881,49.9882400494622,0,29988.2259656891,704.188654957418,68835.5522317851,7886.91293552308,0,5865.41123913261,0,704.188654957418,8450.26385948901,88023.5818696772,0,18496.5875017781,0,0,3513.90138823751,16880.8104366392,23008.9403791633,0,0,2191.43509422748,25946.9929031867,0,0,0,70418.8654957418,0,12622.5816401117,67118.8374690333,0,0,0,407.692838542217,0,0,0,760.695569385821,0,0,16020.2919002813,37181.921505499,49920.9900329138,4721.75745770995,0,0,0,102600.658838906,7459.17818367212,16054.8760135035,4494.68478403238,8343.65321807173,3281.76700650811,171956.12693423,8481.6192677283,3701.15078509993,1725.26220464567,17773.1294284664,5955.64245243558,73242.8401618507,8738.40447751314,2054.0133824012,0,0,4269.09231490753,1092.53461439333,64114.5567061998,2644.77344138404,2762.66659343105,644.031226541715,2004.78003258985,11109.6604824819,0,0,0,0,278434.116813631,8843.32154521525,1594.47465413774,1623.38300680105,4459.84645870567,4796.11344197556,0,0,52556.4160740919,0,44495.3446088021,0,0,0,0,11308.4444895125,26306.3438947548,33326.6435411112,42610.7435246332,21075.1101703151,70304.0897868703,13482.1319170691,0,49432.8851876733,13119.3163173187,0,12171.7340082277,1247.61737768595,0
"13","IA",19,"2022-2023",3150011,26.4233997913023,3051.03950430649,1623.54036224,1223.96334488991,19449.6349377828,30.321481417049,4842.53483559264,4993.86922775825,0,6919.07234609657,12386.9453154291,0,4403.9027165302,95.2377626617812,1315.04302683387,11673.4246324854,0,0,24057.2229747769,0,0,5536.48860273821,0,8181.1349230209,5153.54676539225,0,1726.02571864035,20439.9667175765,0,0,0,31745.9208872604,0,18412.634114611,0,0,0,3009.51330011229,3807.55146569329,0,0,14338.5743732323,0,0,93.6504666174182,11245.992474312,25889.1032444014,30552.0742625978,902.203516114706,0,0,0,59307.8436868951,10175.0108174225,7892.14450362237,5887.80515369629,10929.7548484751,1678.00493395102,234564.114538013,11569.7167406717,22069.5737252981,3651.74089868258,22945.8741572648,7808.88352453372,100594.457289197,11235.5687011887,3751.49832810108,0,2462.48727385396,0,535.080988606072,21288.3323264585,2432.15785595669,5891.50799790858,0,79.5397222422398,3946.62304353858,0,0,0,2380.94406654453,78180.2603229005,8409.67983921326,376.517097876801,2091.59841029127,1176.19335297559,2523.97404326525,1529.02386690078,0,10793.6131016685,0,9687.14426711526,0,1269.34794830875,7777.7506173788,0,6068.28515836929,19361.8593712847,0,6229.08904127636,7449.53462067275,18997.3939773544,621.585130972559,18190.4126684002,36657.0256421327,7884.02929386596,0,134.809687966169,156.808976222623,0
"14","ID",16,"2022-2023",1754367,159.967099244343,0,980.513769353847,1417.09744882342,5256.91659726842,4098.97301989835,12975.9759503,3258.09251998014,855.009242649913,5718.51214711631,3511.23795648231,0,4037.27156290559,0,0,218.882366118378,0,0,14447.6902495316,3535.66614055098,0,2926.98164067154,0,4254.64854275075,0,4007.11481691117,1124.05215100375,13312.8473118794,0,0,0,57000.6161766609,0,0,3542.17504091219,0,0,0,2820.12999560525,38806.0194930707,0,0,2280.02464706643,0,309.432974970459,12967.6401801903,30096.9409479316,40408.5918168775,1016.75077107584,0,0,0,51300.5545589948,10413.886034108,16075.6990983073,6152.57297931391,11421.2527937427,2459.295004979,240070.245849358,11841.3028744841,0,2235.42622495749,24986.5375944714,8186.89305031387,103779.424715581,10675.9452269679,3510.15038472566,0,20520.2218235979,503.796526040446,884.353159857658,17524.2819774882,2820.43266887715,6721.64490098138,0,0,6013.62998734016,0,0,0,0,62234.2126818391,7822.72922370291,611.205637132937,1265.49290997836,0,3447.8794915773,0,3.18120438881944,0,25650.2772794974,9910.38363124705,0,587.676352781374,0,0,6038.47199588228,3539.58607292545,0,1335.70512897244,1955.07553436653,23660.1076057632,6213.06716325604,0,35414.7153930734,1432.04472040343,11961.4749935447,285.003080883304,4293.76749562663,3477.03758677631
"15","IL",17,"2022-2023",12716164,127.396909948629,73.1245680694272,385.735509545174,222.34150172961,1612.41369645752,2765.67068496443,9579.98324022874,1835.44243374024,0,782.391922595525,6491.69073314877,14554.7037612915,2208.01336000385,11327.9444964692,566.22193611218,5073.83633932371,20877.0610382188,0,25232.7897784269,1176.65248733816,26213.3559302947,42569.9796731153,0,20395.7011721459,1147.04473770549,0,1429.04731332499,16920.0444410752,0,532.723233201459,0,7864.00678695242,1394.83668187985,0,0,0,0,0,2654.97881279291,0,0,0,0,0,97.7385161122489,6306.61888286436,14157.4652544588,30634.5026692012,8902.29789423917,0,0,0,46754.4402541521,6887.4369660536,19055.615042398,4219.33878801815,7832.51812417644,3575.73502512236,158775.805109151,7831.50932938581,709.821924284714,1782.41661557684,16221.4359613481,5582.55327628678,67995.8666780328,7701.57116564398,2186.4094391988,7360.71035258746,1887.36162886858,4.63583200090845,1374.62791451888,84230.2356276626,2387.73682063239,1962.15195085562,575.912201195266,61201.1977826017,3258.08978242181,31310.5430222511,0,272.339991840307,438.811578711945,202334.825345128,9580.15915806056,2011.86065231622,2228.75514974484,3335.87621235461,3793.50297778481,0,0,7470.8064476048,0,4099.20719801978,9200.88794073433,67.8270585374646,24921.0375078522,0,4177.14367320208,1144.82166162689,629.120542956193,42557.5561938333,26506.1859850188,11890.3606464969,9477.93933768077,4156.96415994635,103317.058823714,2232.72623725205,5706.84154435253,0,0,87249.5038598118
"16","IN",18,"2022-2023",6696893,107.321260769733,649.82507559849,609.434554202971,555.709341630514,4800.47389140009,325.712983617925,0,3877.57875181819,223.984465632048,1526.7291862062,3765.92548216016,0,929.525826379487,0,1018.70374814112,6253.41109675785,35532.9834297786,1968.85943974318,19963.6371672655,633.915906973577,49774.3256462362,6691.85471531351,45.8421539660257,8952.91174579017,1613.07310718568,0,1445.74506416632,17120.1137602169,0,0,29864.5954176063,14932.2977088032,14669.5742339022,0,0,0,0,0,2559.47437117481,0,0,0,0,0,89.2740857588736,5406.23838547219,12778.9080697571,19371.4697248411,3226.77172832237,206.969709684775,0,0,22261.8960762849,9052.68428209918,15484.7165693106,5369.4523714206,9967.51732482511,2082.71059430097,208691.163947222,10293.5506062289,525.616879349872,2361.8324198998,21302.0057211605,7139.41659214206,85526.3321364101,11430.4546899585,2668.06651980254,0,3161.49757805597,7.46614885440159,903.979800782243,33326.1366129039,2769.12636949702,3602.9288507372,0,9020.23415933329,3043.02024834502,0,0,52.841369871073,0,85713.7554683941,8741.37678472689,1043.64680755688,1748.53368569574,2201.66605618456,2558.93830168707,0,0,0,0,3894.39341497617,0,658.484613685779,0,1123.65749310912,5121.17798507457,1744.70295404152,0,13185.2218633327,12444.5316656545,12112.8290387796,353.596809744459,0,57835.8356628962,1772.01248399818,378.055465422547,0,15.4190906141102,0
