"","GEOID","NAME","percent_urban","percent_rural","urban","rural","percent_poc","percent_poc_bucket","poverty_rate","poverty_rate_bucket","pop_density","pop_density_bucket","med_hh_income","med_hh_income_bucket","broadband_speed","hh_int_access","transport_costs","annual_vehicle_mi_per_hh","employment_access_index","commute_time","freq_fatal_accidents","pub_transit_commute","green_commute","freq_train_use","freq_bus_use","pub_transit_stops","avg_hh_person_trips","access_to_car","highway_miles","ghg_per_acre","ozone","pm25","diesel_pm","contaminated_sites","superfund_site","water_system_violations","energy_cost_hh","grid_disturbances","power_generation","housing_cost_burden","overcrowded_housing","vacancy_rate","homelessness","incomplete_plumbing","incomplete_kitchen","housing_units","permits","transport_trade_jobs","capacity_housing","capacity_environment","capacity_transport","airports_primary","bridges","docks","rr_freight_route_miles","rr_pax_route_miles","rr_incident_number","rr_incident_killed","hud_pbs8","hud_hcv","hud_202","hud_ph","stations_elevated","stations_subway","orphan_wells","intercity_km","rail_transit_km","bridges_poor_condition","age_under_18","age_over_64","cnw_500","total_pop","ALAND","AWATER"
"1","01","Alabama",0.577372395123758,0.958665497861217,1,1,0.347634240758475,6,0.159828938384371,9,96.6138357744837,5,52035,2,234.191043432201,0.80318389582442,27,20548,8260,0.352149140089265,0.000174119683985036,0.00332188650698384,0.0160685471486382,0,0.0176707697966216,0.000648657132592139,6.40557659208262,0.940773755311082,4.32452018445609e-08,5.65,60.714872358885,9.15419526115221,0.186730616906003,0.00014530410248047,2.65675574155571e-06,0.00161502000405387,0.028203832443285,2.86112156782922e-06,0.0277673891816089,0.472532368091327,0.00136986736591503,0.168205750709787,0.000684829883842552,0.0436179031165461,0.0472604362759305,0.463991763239738,0.00294652524410115,0.0277355081127102,0.00170747647851523,0.00477623372583834,0.00372988069531794,1.2261949576411e-06,0.00329642077779181,1.77798268857959e-05,0.00070058648904824,5.59144900684339e-05,0.000222758750638132,2.16627775849927e-05,0.00417008468511109,0.00667683591018204,0.000414658261508964,0.00624337599265591,0,0,1.00139254874023e-05,7.70706447700946e-05,0,0.0427154369756355,0.223353863924241,0.1690992330968,0.00787852118495886,4893186,131175460655,4591915034
"2","02","Alaska",0.64899487449396,0.999431806597739,1,1,0.403005468188171,8,0.103369958787677,3,1.29065721141934,1,77790,9,258.515518196995,0.876440689257876,19,20880,10395,0.171609585618544,7.19141372338838e-05,0.0120863890809848,0.102600521497382,0.0229913188327453,0.0516472004152754,0.00151833810499464,7.27884146341463,0.907407915414248,1.0328230813746e-08,10.82,NA,NA,0.191656021824529,0.000446410399055618,8.14122308308118e-06,0.165721213257041,0.0327865656949602,NA,0.00803810092402882,0.441932369511286,0.00800241404850827,0.198501743254704,0.00264454063148754,0.104708358199579,0.0862267173414581,0.431986865493426,0.00179323360658426,NA,0.00383451607213124,0.00812222689588733,0.00794990434062877,7.73416192892712e-05,0.00139621975874842,0.000270017232255526,0.000791191196624106,0.000710186026947448,1.49255756523155e-05,0,0.00159975033582545,0.00606114058535394,0.000331076405378635,0.00164724080381009,0,0,1.62824461661624e-05,0,0,NA,0.248794420548447,0.118901206257887,0.00110627508393889,736990,1478941109938,245380162784
"3","04","Arizona",0.892851599566077,0.980963038955237,1,1,0.458644082349976,9,0.141241714136848,8,63.1226449549683,4,61529,5,169.964125781859,0.868615019122882,23,17578,26285,0.371813542955784,0.000134651712056095,0.0159620099195343,0.0457818635351219,0.0158946573664856,0.0546766117641252,0.00144869072815631,6.6218254497002,0.941744627245662,9.95075878420461e-09,18.26,65.9884801883853,5.85420415839187,0.272201173840906,0.000144687864507481,1.3939100626925e-06,0.021540904489672,0.0221033283772551,5.57564025077e-07,0.0152812966262916,0.475162653053328,0.00361878317186383,0.130620815991607,0.00153037385783009,0.0159939090868728,0.0190617296943526,0.42383159670725,0.00460228478694292,0.0288507323045905,0.00118998102052059,0.00381666514265833,0.00216976040358714,6.96955031346249e-07,0.00115610900599716,0,0.000280817121230031,0.000123291345045152,4.1817301880775e-05,6.55137729465475e-06,0.00124378594894052,0.00283284342040997,0.000262612655811267,0.000584745271299503,0,0,0,0.000276767812497909,8.76992455043613e-06,0.0180853629816735,0.228551766474344,0.175939885677072,NA,7174064,294360991275,858853288
"4","05","Arkansas",0.55476131022034,0.979077465072307,1,1,0.284465513652136,5,0.160826519495756,9,57.9289291708502,4,49475,1,184.87966584874,0.772569847865608,28,20701,6961,0.273399563847831,0.0001985475483196,0.00305102707612737,0.0222001453840562,0,0.0229165626156748,4.44905877505459e-05,6.33734904270987,0.938602905999262,5.82877991688508e-08,5.52,57.338057181045,8.97855879701726,0.169305488256507,0.000113218585245792,2.98817380414114e-06,0.00496543323001566,0.0258328346299621,3.65221242728362e-06,0.0175774343738929,0.434541217198486,0.00279271859921541,0.151643235361051,0.00078555769117755,0.0445868828173808,0.0469633520754788,0.45811294168114,0.00309213434979648,NA,0.00190711892566519,0.00505632209591839,0.00421332506383901,2.65615449256991e-06,0.0042803929647764,8.63250210085219e-06,0.000882972157192551,0.000120390202375731,0.000196887451761744,2.82216414835552e-05,0.00373189706206072,0.00719718261692973,0.000499357044603142,0.00341149842639447,0,0,0.000115874739738362,0.000163127396141869,1.53094104565498e-06,0.0456096804654825,0.233353796790237,0.169368695160785,0.00790239805008464,3011873,134660850501,3121867339
"5","06","California",0.942366327389069,0.950090451135128,1,1,0.634902236497956,10,0.125769599399138,6,252.448781276701,8,78672,9,214.142151170438,0.891210593146026,20,16678,52975,0.439061303593405,9.33512390820287e-05,0.0462446817119312,0.0873207643597217,0.061462309763108,0.0956292421798971,0.00190728298003587,7.40171236354405,0.929760055510469,4.02103775821791e-09,29.89,66.0812772248134,8.65179498663211,0.261336162409721,7.08330801311228e-05,2.46530634112627e-06,0.0017748002511282,0.0169691092949162,1.42326964023785e-06,0.00493340839047443,0.541769141408505,0.00822399927223407,0.0779561809577055,0.00410582792573471,0.00860379095127031,0.0224519199813946,0.361178688885532,0.00223768671427986,0.0335711693148759,0.0017342794721591,0.00455608944263566,0.00373956473313707,6.35388232249038e-07,0.00065406864627716,5.00685927012242e-06,0.000151247814804561,6.88735428228668e-05,5.1517277870752e-05,1.48172535760476e-05,0.00260481218139887,0.00771523973337788,0.000338407772495838,0.000609438976843988,1.321607523078e-06,1.27077646449808e-06,8.4557465947702e-05,0.000117256043895466,4.52080760487534e-05,0.0703710899562852,0.22763777167517,0.1434578788306,0.0022683185422767,39346023,403671196038,20294133830
"6","08","Colorado",0.860267065531822,0.984786211823172,1,1,0.324978020822083,6,0.0978161958063727,2,54.854488483056,3,75231,8,199.491303065925,0.899418078583252,19,18129,29579,0.370583845036929,0.00010096877250469,0.0281423346702481,0.0751288633077616,0.0474184842109372,0.0791169974733543,0.00194936574372296,6.66814905814906,0.950370590090212,1.99023740869082e-08,18.94,64.7718235711818,6.39774426558491,0.256924059475945,0.000186985723297014,3.69397948187892e-06,0.00855319203209118,0.0165128937615812,1.40723027881102e-06,0.00953380923515979,0.511913802785755,0.00143538744700342,0.0948474022729159,0.00173194866564666,0.00964354620957647,0.0142455318348824,0.415374272242066,0.00557267628377316,NA,0.00195851274053523,0.00543296429891963,0.00396064961971361,2.11084541821653e-06,0.0015454906537042,0,0.000481853237843377,0.000136307842881332,5.18916165311563e-05,8.97109302742023e-06,0.00295412816279403,0.00541713295828301,0.000257523141022416,0.00109746371368774,7.03615139405509e-07,1.75903784851377e-07,7.19446480042133e-05,0.000188684602051108,3.10860686665051e-05,0.0538356477290007,0.221468318145214,0.142189537735408,NA,5684926,268418746964,1185766400
"7","09","Connecticut",0.862507293513155,0.654450692227668,1,1,0.339613600037417,6,0.0978258894383656,2,737.359339289395,10,79855,10,226.046407235398,0.87588753584609,17,17284,23160,0.356548607723076,7.95395890099814e-05,0.0435611537098398,0.0784976553273314,0.0216973222291091,0.0961463709448936,0.00310036355753695,6.61218091697646,0.914572080866903,1.5943338045091e-07,14.54,69.7435078514286,7.28631830083757,0.186892190804214,0.000185685730681752,3.64089668003436e-06,0.0210240811595213,0.026432119205298,3.92096565542162e-06,0.0115290393718165,0.513871985014999,0.00135408538966406,0.0892467060522654,0.000813600373499986,0.0118439467814533,0.0150907277746041,0.426040645290122,0.00138946206253886,0.0318225572594018,0.00145971949971839,0.00279312789153713,0.00305611265942576,5.60137950774517e-07,0.00119589452490359,5.88144848313243e-06,0.00016661303345788,7.12775542360573e-05,1.42835177447502e-05,1.12027590154903e-06,0.00656201609332346,0.0109257707988323,0.000529890501432693,0.00356387771180286,2.80068975387258e-07,0,0,0.000226247000111187,9.33696750835796e-05,0.0721311476515222,0.206014257191261,0.172372932005694,0.00825525953635801,3570549,12541688516,1816426151
"8","10","Delaware",0.826121170000849,0.779504448728596,1,1,0.38488279687789,7,0.114357684225288,4,496.616688937652,9,69110,7,265.959257578284,0.87649109186339,21,18016,18865,0.350462345090562,0.000107473656036764,0.0220079791647766,0.0493779790276454,0.00958841387906586,0.0388438303002433,0.00245432627968572,6.00630841121495,0.941270187867466,3.88288575282483e-07,12.16,63.5535777606178,7.67139115883006,0.219025081247091,0.000158110282438701,1.86012096986707e-05,0.00299776617423841,0.0219233313383942,4.13360215526016e-06,0.00518560390377388,0.491994059946055,0.000838381142624537,0.153921421044709,0.00120391162771952,0.00920312564148181,0.0121248614399299,0.453082065436989,0.00562687728511263,0.0258825498951615,0.00159970403408568,0.00350529462766062,0.00443742191367179,0,0.00089182466499738,9.30060484933537e-06,0.000270957621277304,3.90625403672085e-05,6.51042339453476e-05,4.13360215526016e-06,0.00485801593296951,0.004575897585873,0.000436095027379947,0.00214430611804121,1.03340053881504e-06,0,0,0.000306903425619446,3.44856093807967e-05,0.0393974504797219,0.211027623829803,0.188103699677269,0.00565102053172232,967679,5046731558,1399179670
"9","11","District of Columbia",1,0,1,0,0.632761327342608,10,0.154525033291535,9,11484.0764931466,10,90842,10,380.882532551167,0.857152271710364,8,5172,189361,0.544901358314944,4.84348423160972e-05,0.315410588514601,0.549880042571358,0.419529590710399,0.351178603973767,0.006183989720417,6.65798850574713,0.645610408349433,3.65723199521131e-06,25.18,64.8035557281553,8.2600157148557,0.477667861758573,0.000121087105790243,1.42455418576756e-06,0.000129206342529019,0.0113270259632345,2.84910837153513e-06,0.000296307270639653,0.455247071461456,0.00294824614039895,0.0967599438582421,0.00908865570519706,0.0118643324394095,0.0142014837464598,0.45470629966352,NA,0.0113536968605675,0.00445173183052364,0.00824531962722266,0.0226504115537043,0,0.000347591221327286,2.84910837153513e-06,4.51583676888318e-05,3.20524691797702e-05,8.54732511460538e-06,0,0.0139620555747079,0.0169536193648198,0.000586916324536236,0.0105103607825931,4.27366255730269e-06,4.84348423160972e-05,0,0.000166370834247422,0.000121138389740931,0.032786885,0.17956220600763,0.122386299207663,0.00991208008604354,701974,158316124,18709762
"10","12","Florida",0.915341945912161,0.851790676021471,1,1,0.465934741529922,9,0.133355227861151,7,395.45543678886,9,57703,3,258.499746223778,0.85665021667913,23,17411,22674,0.428133106547522,0.000145968378828147,0.0161698738450669,0.0387028707427477,0.00875959788824531,0.0472010740201711,0.00152265238825383,5.97345534407028,0.938826900413589,1.29026669277035e-08,17.98,59.3588705314269,7.51617345634915,0.290701884277789,0.000100061630045901,2.49800583722692e-06,0.00263620809933135,0.0196530403985833,6.12718412904717e-07,0.0117669271945358,0.563459751391618,0.00205262356938883,0.170566381143329,0.00129552238580861,0.00888664722090571,0.0134689014929843,0.45069322961236,0.00498190560870394,0.0319633043885155,0.00146133341477775,0.00437009624957887,0.00280535481957705,8.95511526553048e-07,0.000585947331479342,7.63541406850493e-06,0.00014610506216641,2.837828895461e-05,5.4720467490952e-05,1.05576095762044e-05,0.0020204154004605,0.00487064006073642,0.000347317075745758,0.00115511560488222,2.40374146601081e-06,0,0,5.44614761310358e-05,1.18312626278908e-05,0.02638352642463,0.198635956842754,0.20492659539149,0.00459769091522141,21216924,138958484319,45975808217
"11","13","Georgia",0.740669729426354,0.919222926530322,1,1,0.479080697249552,9,0.142754378163162,8,182.210535051467,7,61224,5,267.867542175432,0.845996777245642,24,19522,19655,0.425711148125929,0.000144248429075653,0.0193697569480582,0.0392735413685279,0.0314507808369222,0.0410974328102871,0.00105262367163314,5.93681607418856,0.936786863777536,3.07815657032046e-08,9.08,63.9584377911143,9.61662134531248,0.278806866110805,8.32970493541674e-05,1.71158320590755e-06,0.00371700306053336,0.0238441874061422,8.55791602953774e-07,0.0113419962898581,0.490849354671848,0.0013160972716241,0.115346071009949,0.000973130140514325,0.0207209548060767,0.0272179782547189,0.411699945390987,0.00399762614448862,NA,0.00135538372316701,0.00372526084765778,0.0028525435885567,6.65615691186269e-07,0.00141481369559436,1.71158320590755e-06,0.000449642416987501,2.97910565783797e-05,0.00013074593934016,9.98423536779403e-06,0.00355277129568465,0.00515234088956114,0.000255025897680225,0.00247808721828648,1.42631933825629e-06,1.14105547060503e-06,0,6.69870877212067e-05,7.83505738890945e-06,0.0332011560234559,0.238225187106948,0.138767654386469,0.00836937520277139,10516579,149486234922,4418749570
"12","15","Hawaii",0.860630081957244,0.952915827292856,1,1,0.784264763667246,10,0.092626759131051,1,221.111145722765,8,83173,10,266.589679218968,0.873441012796731,17,17926,27391,0.417264382043145,5.70392810515508e-05,0.0546612468840784,0.115463861091808,0,0.109705195767045,0.00267028337959853,7.33444816053512,0.920131557576742,1.30916988757432e-07,39.84,NA,NA,0.114438389344923,0.000151400560815845,2.11256596487225e-06,0.000887847918420511,0.0184533711491087,NA,0.00656585501882296,0.546900831257131,0.00934751203166272,0.143877007744648,0.004547650333715,0.0136249453410444,0.025696570070494,0.384889097328731,0.00262931913329455,0.0351559144100941,0.00174779624160431,0.00530817408106901,0.00362586738437574,7.74607520453159e-06,0.000800662500686584,3.23926781280412e-05,2.95759235082115e-06,2.95759235082115e-06,0,0,0.00224213667738442,0.00826576643189017,0.000409837797185217,0.00332306626274405,0,0,0,0,0,0.0686015829991205,0.212838908394915,0.183939005995462,0.000238403735477385,1420074,16634147166,11777652106
"13","16","Idaho",0.692421752742909,0.99421065829055,1,1,0.186299673899475,2,0.119372804665427,5,21.2278285345894,2,58915,4,140.0212589703,0.864495401964272,26,21126,10735,0.245662903843184,0.000107161158412122,0.00637077620139681,0.043054669505013,0,0.0279699754391104,0.000719917782311227,6.6269696969697,0.961438412811355,4.05642776219642e-08,11.26,53.4616987006579,6.63213286679885,0.151093845353934,0.000281583043912705,5.13005545589948e-06,0.0318666301195653,0.0217424090086467,2.85003080883304e-06,0.0110210691377574,0.450061920924686,0.00166795266895529,0.119488317912263,0.0013195642644897,0.0124693013800988,0.0196755947497393,0.420328813754477,0.006379216563034,0.0299150633818352,0.00200528167709493,0.00517736596732611,0.00402880355136639,3.42003697059965e-06,0.00255476761703794,0,0.000903174763319191,8.52729218002847e-05,0.000139651509632819,1.42501540441652e-05,0.00216488340238958,0.0036309392504533,0.000212612298338945,0.000347703758677631,0,0,0,9.20046945707483e-05,0,0.0702811244651941,0.253423599509111,0.158315791393705,0.00458500055229941,1754367,214049923496,2391577745
"14","17","Illinois",0.869274774306482,0.933279751836655,1,1,0.391525699102339,7,0.11987514760232,5,229.066978834592,8,68428,7,185.756158047207,0.85639225226712,19,16469,49668,0.445603694422019,8.54031137063033e-05,0.0880746449441165,0.131825597142207,0.161818945036237,0.117716213051182,0.00265567509195383,6.89784146740911,0.892584265429936,2.09132474744793e-08,23.13,63.6940470226785,9.46511462760129,0.370498480136702,0.000140687081418579,3.77472325773716e-06,0.00683457762804839,0.0196098657946586,5.50480475086669e-07,0.0136481410588917,0.469531032259033,0.00183433417395892,0.0910643849268199,0.000820294547947007,0.0196064491935716,0.0275003559208953,0.422563361089083,0.0014285208340235,0.0448135931559234,0.00125155668014348,0.00354989130369819,0.00376913981291842,8.65040746564766e-07,0.00210826157951407,1.32115314020801e-05,0.000608383157059,0.000124070435077748,0.000126453229134195,2.58725823290735e-05,0.00511931113817028,0.00747300836950514,0.000429138850363993,0.00329918676733015,1.10882495696029e-05,1.88736162886858e-06,0.000666867775533565,0.000269284589283372,7.73966897564391e-05,0.0847849602557723,0.224551444916879,0.156527235729266,0.00615948117647276,12716164,143778461053,6216594318
"15","18","Indiana",0.711762739760266,0.932304747953323,1,1,0.215538758047949,3,0.129112217081929,6,186.92916775447,7,58235,4,192.658016565473,0.835097223342823,24,19656,14416,0.317541316148789,0.000121698226326746,0.00880363010443863,0.0355539748132832,0.002244403460041,0.0305624826493343,0.000656722453233163,6.61833333333333,0.93742896990514,3.6665991721268e-08,10.04,61.5174563792085,8.99580335636667,0.263906593657725,0.000234735719982386,5.97291908352127e-06,0.0155200838490645,0.0264573876676697,7.46614885440159e-07,0.0134171174602909,0.46048256107465,0.00107193490012564,0.103642913228548,0.000839941746120178,0.0243305139614012,0.0324287465733611,0.433592115030059,0.00277731209443228,0.0392502911424746,0.00141349130111531,0.00343905748531446,0.00294255858649675,5.97291908352127e-07,0.00287894699825725,4.92765824390505e-06,0.000616151400358345,8.69955664514873e-05,0.000226373633265456,2.73261048071098e-05,0.00454091173324704,0.00549642946363336,0.000331049040204166,0.0015895430911021,0,0,8.58607118256182e-05,0.000206256393823225,1.66272628217294e-05,0.0623962655629149,0.234588338204,0.156912466721508,0.00108259665852255,6696893,92788998225,1541613641
"16","19","Iowa",0.631535411734505,0.982509151262875,1,1,0.149861381436446,1,0.111130265160503,4,56.3981349158656,3,61836,5,160.677402832467,0.835953156386363,23,20478,10030,0.209007857823787,9.84123547505072e-05,0.00901584118278137,0.0471435693963839,0,0.0474067106345845,0.0018945965585517,6.43118437118437,0.943181042136174,6.47588192794711e-08,9.25,58.7463017075893,7.62691804400073,0.156881467556796,0.000308887810233044,4.12696971534385e-06,0.00886900796037155,0.0258481028077228,1.26983683549042e-06,0.0188494579860197,0.427346659842673,0.000869742005320498,0.0950960315210975,0.000840314525885783,0.0181898383243869,0.0249719601738576,0.44692510597582,0.0035543726281392,0.0396373219014156,0.00154602634720958,0.00411458880619782,0.00416189022831984,2.53967367098083e-06,0.00765806849563382,1.26983683549042e-05,0.00128196377726935,9.97774293486594e-05,0.000193650117412288,1.8412634114611e-05,0.00375014563441207,0.00600124888452771,0.000324760770676674,0.00125396387504679,0,0,0,0.000161489277339031,2.28570630388275e-08,0.193798449612527,0.231264906693977,0.170602896307346,0.00516051818170468,3150011,144659688848,1085996889
